player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Harrison Ingram,ingraha01,2026,1,6.0,1.0,2025-10-22,,,DAL,"W, 125-92",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.4,4.0
Harrison Ingram,ingraha01,2026,2,7.0,4.0,2025-10-27,,,TOR,"W, 121-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Ingram,ingraha01,2026,3,8.0,6.0,2025-11-02,,,PHO,"L, 118-130",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6,9.0
Harrison Ingram,ingraha01,2026,4,9.0,49.0,2026-02-01,,,ORL,"W, 112-103",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-8.0
Harrison Ingram,ingraha01,2026,5,10.0,56.0,2026-02-21,,,SAC,"W, 139-122",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,-9.0
Harrison Ingram,ingraha01,2026,6,11.0,77.0,2026-04-02,,,LAC,"W, 118-99",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,0.0
Harrison Ingram,ingraha01,2026,7,12.0,81.0,2026-04-10,,,DAL,"W, 139-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
