player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tyler Burton,burtoty01,2026,1,1.0,65.0,2026-03-12,,,DAL,"L, 112-120",,1,9,0.111,1,7,0.143,0,2,0.0,0.167,0,0,,0,1,1,0,0,1,1,3,3,-4.1,-1
Tyler Burton,burtoty01,2026,2,2.0,66.0,2026-03-13,,,DET,"L, 110-126",,1,9,0.111,1,5,0.2,0,4,0.0,0.167,1,2,0.5,2,3,5,1,1,0,2,2,4,-1.1,-24
Tyler Burton,burtoty01,2026,3,3.0,67.0,2026-03-16,,,CHI,"L, 107-132",,2,6,0.333,1,3,0.333,1,3,0.333,0.417,3,4,0.75,2,6,8,1,2,0,2,2,8,7.3,-4
Tyler Burton,burtoty01,2026,4,4.0,68.0,2026-03-18,,,DEN,"W, 125-118",,1,4,0.25,0,3,0.0,1,1,1.0,0.25,3,3,1.0,0,3,3,0,2,1,0,2,5,5.4,-2
Tyler Burton,burtoty01,2026,5,5.0,69.0,2026-03-20,,,BOS,"L, 112-117",,7,13,0.538,5,9,0.556,2,4,0.5,0.731,4,4,1.0,0,5,5,2,0,0,2,4,23,16.0,-8
Tyler Burton,burtoty01,2026,6,6.0,70.0,2026-03-21,,,CHO,"L, 101-124",,3,8,0.375,2,5,0.4,1,3,0.333,0.5,2,2,1.0,1,3,4,1,0,0,0,3,10,6.7,-8
Tyler Burton,burtoty01,2026,7,7.0,71.0,2026-03-23,,,ATL,"L, 107-146",,6,11,0.545,1,4,0.25,5,7,0.714,0.591,7,7,1.0,2,6,8,1,1,0,1,0,20,18.6,-17
Tyler Burton,burtoty01,2026,8,8.0,72.0,2026-03-25,,,SAS,"L, 98-123",,2,7,0.286,2,5,0.4,0,2,0.0,0.429,0,0,,0,2,2,1,2,1,1,6,6,2.5,-13
Tyler Burton,burtoty01,2026,9,9.0,73.0,2026-03-27,,,HOU,"L, 109-119",,2,10,0.2,1,7,0.143,1,3,0.333,0.25,0,0,,1,1,2,1,1,0,0,3,5,0.3,-14
Tyler Burton,burtoty01,2026,10,10.0,74.0,2026-03-28,,,CHI,"W, 125-124",,7,15,0.467,3,7,0.429,4,8,0.5,0.567,1,3,0.333,0,5,5,3,1,1,0,3,18,13.6,-16
Tyler Burton,burtoty01,2026,11,11.0,75.0,2026-03-30,,,PHO,"L, 105-131",,7,13,0.538,3,7,0.429,4,6,0.667,0.654,0,0,,0,4,4,1,1,0,2,2,17,10.8,-21
Tyler Burton,burtoty01,2026,12,12.0,76.0,2026-04-01,,,NYK,"L, 119-130",,3,7,0.429,2,4,0.5,1,3,0.333,0.571,2,2,1.0,0,3,3,0,0,0,0,1,10,6.8,-17
