player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deandre Ayton,aytonde01,2026,22,420.0,24.0,2025-12-10,,,SAS,"L, 119-132",*,,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,1.0,2.0,0.5,3.0,5.0,8.0,1.0,1.0,0.0,0.0,3.0,11.0,10.4,-10.0
Deandre Ayton,aytonde01,2026,23,421.0,25.0,2025-12-14,,,PHO,"W, 116-114",*,,10.0,11.0,0.909,0.0,0.0,10.0,11.0,0.909,0.909,0.0,2.0,0.0,6.0,7.0,13.0,0.0,2.0,1.0,3.0,4.0,20.0,19.9,-12.0
Deandre Ayton,aytonde01,2026,24,422.0,28.0,2025-12-23,,,PHO,"L, 108-132",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,0.0,1.0,0.0,3.0,7.0,10.0,1.0,3.0,0.0,2.0,2.0,12.0,13.5,-23.0
Deandre Ayton,aytonde01,2026,25,423.0,29.0,2025-12-25,,,HOU,"L, 96-119",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,6.6,-14.0
Deandre Ayton,aytonde01,2026,26,424.0,30.0,2025-12-28,,,SAC,"W, 125-101",*,,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,1.0,2.0,0.5,2.0,9.0,11.0,2.0,0.0,2.0,0.0,0.0,11.0,13.2,24.0
Deandre Ayton,aytonde01,2026,27,425.0,31.0,2025-12-30,,,DET,"L, 106-128",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,10.0,5.0,-9.0
Deandre Ayton,aytonde01,2026,28,426.0,32.0,2026-01-02,,,MEM,"W, 128-121",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,-1.0
Deandre Ayton,aytonde01,2026,29,427.0,33.0,2026-01-04,,,MEM,"W, 120-114",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,3.0,6.0,0.5,1.0,7.0,8.0,1.0,1.0,3.0,1.0,2.0,15.0,15.4,6.0
Deandre Ayton,aytonde01,2026,30,428.0,34.0,2026-01-06,,,NOP,"W, 111-103",*,,9.0,16.0,0.563,0.0,0.0,9.0,16.0,0.563,0.563,0.0,0.0,,3.0,8.0,11.0,3.0,1.0,2.0,1.0,0.0,18.0,18.4,13.0
Deandre Ayton,aytonde01,2026,31,429.0,35.0,2026-01-07,,,SAS,"L, 91-107",*,,4.0,9.0,0.444,0.0,0.0,4.0,9.0,0.444,0.444,1.0,2.0,0.5,1.0,5.0,6.0,1.0,0.0,1.0,1.0,2.0,9.0,5.7,-9.0
Deandre Ayton,aytonde01,2026,32,430.0,36.0,2026-01-09,,,MIL,"L, 101-105",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,1.1,-13.0
Deandre Ayton,aytonde01,2026,33,431.0,37.0,2026-01-12,,,SAC,"L, 112-124",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,5.0,8.0,0.625,5.0,8.0,13.0,1.0,0.0,2.0,2.0,0.0,13.0,14.5,-12.0
Deandre Ayton,aytonde01,2026,34,432.0,38.0,2026-01-13,,,ATL,"W, 141-116",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,3.0,3.0,1.0,3.0,15.0,18.0,1.0,0.0,0.0,0.0,3.0,17.0,19.6,31.0
