player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Keshad Johnson,johnske01,2026,1,371.0,1.0,2025-10-22,,,DAL,"W, 125-92",,5,6,0.833,1,1,1.0,4,5,0.8,0.917,0,0,,2,3,5,2,1,0,0,2,11,12.7,10
Keshad Johnson,johnske01,2026,2,372.0,2.0,2025-10-24,,,NOP,"W, 120-116 (OT)",,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,2,0.0,5,5,10,1,0,0,0,6,8,7.2,-13
Keshad Johnson,johnske01,2026,3,373.0,3.0,2025-10-26,,,BRK,"W, 118-107",,5,9,0.556,2,4,0.5,3,5,0.6,0.667,7,7,1.0,3,3,6,1,1,0,0,1,19,19.0,19
Keshad Johnson,johnske01,2026,4,374.0,4.0,2025-10-27,,,TOR,"W, 121-103",,4,6,0.667,2,3,0.667,2,3,0.667,0.833,0,0,,2,3,5,0,1,0,1,1,10,9.3,-2
Keshad Johnson,johnske01,2026,5,375.0,5.0,2025-10-30,,,MIA,"W, 107-101",,4,7,0.571,1,2,0.5,3,5,0.6,0.643,2,2,1.0,2,1,3,1,0,0,0,1,11,9.7,-9
Keshad Johnson,johnske01,2026,6,376.0,6.0,2025-11-02,,,PHO,"L, 118-130",,8,14,0.571,1,4,0.25,7,10,0.7,0.607,2,5,0.4,1,2,3,2,0,0,2,0,19,11.9,-2
Keshad Johnson,johnske01,2026,7,377.0,7.0,2025-11-05,,,LAL,"L, 116-118",,4,4,1.0,0,0,,4,4,1.0,1.0,4,4,1.0,0,1,1,1,1,0,1,4,12,10.2,0
Keshad Johnson,johnske01,2026,8,378.0,8.0,2025-11-07,,,HOU,"W, 121-110",,3,8,0.375,0,2,0.0,3,6,0.5,0.375,2,2,1.0,5,1,6,4,1,0,2,2,8,8.4,10
Keshad Johnson,johnske01,2026,9,379.0,9.0,2025-11-08,,,NOP,"W, 126-119",,4,7,0.571,0,1,0.0,4,6,0.667,0.571,4,4,1.0,3,5,8,4,2,0,0,1,12,16.7,-2
Keshad Johnson,johnske01,2026,10,380.0,10.0,2025-11-10,,,CHI,"W, 121-117",,5,9,0.556,0,1,0.0,5,8,0.625,0.556,0,0,,3,4,7,1,1,0,1,2,10,8.9,-6
Keshad Johnson,johnske01,2026,11,381.0,11.0,2025-11-12,,,GSW,"L, 120-125",,3,9,0.333,0,2,0.0,3,7,0.429,0.333,0,0,,3,6,9,1,2,0,1,0,6,6.5,-9
Keshad Johnson,johnske01,2026,12,382.0,12.0,2025-11-14,,,GSW,"L, 108-109",,2,7,0.286,0,3,0.0,2,4,0.5,0.286,0,0,,0,5,5,3,0,1,1,2,4,2.4,2
Keshad Johnson,johnske01,2026,13,383.0,13.0,2025-11-16,,,SAC,"W, 123-110",,7,11,0.636,0,4,0.0,7,7,1.0,0.636,0,0,,2,10,12,1,0,0,0,3,14,13.0,8
Keshad Johnson,johnske01,2026,14,384.0,14.0,2025-11-18,,,MEM,"W, 111-101",,8,15,0.533,1,5,0.2,7,10,0.7,0.567,1,1,1.0,0,7,7,2,2,0,2,1,18,13.8,11
Keshad Johnson,johnske01,2026,15,385.0,15.0,2025-11-20,,,ATL,"W, 135-126",,9,12,0.75,3,5,0.6,6,7,0.857,0.875,4,5,0.8,2,5,7,2,1,0,2,2,25,22.3,8
Keshad Johnson,johnske01,2026,16,386.0,16.0,2025-11-23,,,PHO,"L, 102-111",,6,8,0.75,2,3,0.667,4,5,0.8,0.875,0,0,,2,4,6,2,0,0,3,2,14,11.0,-6
Keshad Johnson,johnske01,2026,17,387.0,17.0,2025-11-26,,,POR,"W, 115-102",,3,7,0.429,0,1,0.0,3,6,0.5,0.429,5,7,0.714,3,7,10,2,1,0,1,1,11,11.7,8
Keshad Johnson,johnske01,2026,18,388.0,18.0,2025-11-28,,,DEN,"W, 139-136",,4,7,0.571,2,5,0.4,2,2,1.0,0.714,4,4,1.0,1,7,8,2,0,0,1,2,14,13.1,14
Keshad Johnson,johnske01,2026,19,389.0,19.0,2025-11-30,,,MIN,"L, 112-125",,8,13,0.615,2,4,0.5,6,9,0.667,0.692,4,5,0.8,2,6,8,2,2,0,1,0,22,21.3,-13
Keshad Johnson,johnske01,2026,20,390.0,20.0,2025-12-02,,,MEM,"W, 126-119",,4,8,0.5,1,2,0.5,3,6,0.5,0.563,2,4,0.5,1,5,6,4,0,0,1,3,11,9.0,13
Keshad Johnson,johnske01,2026,21,391.0,21.0,2025-12-03,,,ORL,"W, 114-112",,5,8,0.625,0,3,0.0,5,5,1.0,0.625,3,4,0.75,0,4,4,1,0,0,1,3,13,8.7,-6
Keshad Johnson,johnske01,2026,22,392.0,22.0,2025-12-05,,,CLE,"L, 117-130",,5,10,0.5,0,2,0.0,5,8,0.625,0.5,4,6,0.667,1,6,7,0,1,2,2,3,14,9.9,5
Keshad Johnson,johnske01,2026,23,393.0,23.0,2025-12-08,,,NOP,"W, 135-132",,5,8,0.625,1,1,1.0,4,7,0.571,0.688,1,2,0.5,3,3,6,2,0,0,0,3,12,11.2,11
Keshad Johnson,johnske01,2026,24,394.0,24.0,2025-12-10,,,LAL,"W, 132-119",,5,9,0.556,3,5,0.6,2,4,0.5,0.722,4,7,0.571,2,6,8,0,1,0,0,2,17,14.9,-6
Keshad Johnson,johnske01,2026,25,395.0,25.0,2025-12-13,,,OKC,"W, 111-109",,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,2,4,6,0,1,0,1,2,3,2.4,-18
Keshad Johnson,johnske01,2026,26,396.0,26.0,2025-12-18,,,WAS,"W, 119-94",,4,8,0.5,1,4,0.25,3,4,0.75,0.563,0,0,,3,5,8,1,0,0,1,2,9,7.5,15
Keshad Johnson,johnske01,2026,27,397.0,27.0,2025-12-19,,,ATL,"W, 126-98",,6,8,0.75,1,1,1.0,5,7,0.714,0.813,0,0,,2,1,3,2,0,0,0,1,13,12.5,15
