player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Vlatko Čančar,cancavl01,2025,1,131.0,1.0,2024-10-24,,,OKC,"L, 87-102",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Vlatko Čančar,cancavl01,2025,2,132.0,11.0,2024-11-15,,,NOP,"L, 94-101",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.7,1.0
Vlatko Čančar,cancavl01,2025,3,133.0,12.0,2024-11-17,,,MEM,"L, 90-105",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,-0.5,-9.0
Vlatko Čančar,cancavl01,2025,4,134.0,13.0,2024-11-19,,,MEM,"W, 122-110",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,3.9,6.0
Vlatko Čančar,cancavl01,2025,5,135.0,64.0,2025-03-09,,,OKC,"L, 103-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Vlatko Čančar,cancavl01,2025,6,136.0,66.0,2025-03-12,,,MIN,"L, 95-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.0
Vlatko Čančar,cancavl01,2025,7,137.0,68.0,2025-03-15,,,WAS,"L, 123-126",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.1,0.0
Vlatko Čančar,cancavl01,2025,8,138.0,69.0,2025-03-17,,,GSW,"W, 114-105",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,3.0,5.0,8.0,2.0,1.0,0.0,3.0,1.0,5.0,5.6,3.0
Vlatko Čančar,cancavl01,2025,9,139.0,70.0,2025-03-19,,,LAL,"L, 108-120",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,8.0,8.0,3.0,0.0,0.0,2.0,2.0,2.0,1.3,0.0
Vlatko Čančar,cancavl01,2025,10,140.0,71.0,2025-03-21,,,POR,"L, 109-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0
Vlatko Čančar,cancavl01,2025,11,141.0,73.0,2025-03-24,,,CHI,"L, 119-129",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-9.0
Vlatko Čančar,cancavl01,2025,12,142.0,77.0,2025-04-02,,,SAS,"L, 106-113",,,3.0,7.0,0.429,2.0,6.0,0.333,1.0,1.0,1.0,0.571,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,8.0,7.5,-10.0
Vlatko Čančar,cancavl01,2025,13,143.0,78.0,2025-04-04,,,GSW,"L, 104-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-7.0
