player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,fg3m,fg3a,2P,2PA,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jesse Edwards,edwarje01,2025,1,1.0,62.0,2025-03-02,,,PHO,"W, 116-98",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Jesse Edwards,edwarje01,2025,2,2.0,63.0,2025-03-04,,,PHI,"W, 126-112",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.1,-7.0
