player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Quincy Olivari,olivaqu01,2025,1,1.0,24.0,2024-12-08,,,POR,"W, 107-98",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.3,-13.0
Quincy Olivari,olivaqu01,2025,2,2.0,37.0,2025-01-13,,,SAS,"L, 102-126",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
