player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jacob Toppin,toppija01,2025,1,10.0,1.0,2024-10-22,,,BOS,"L, 109-132",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Jacob Toppin,toppija01,2025,2,11.0,2.0,2024-10-25,,,IND,"W, 123-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Toppin,toppija01,2025,3,12.0,5.0,2024-11-01,,,DET,"W, 128-98",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,0.0
Jacob Toppin,toppija01,2025,4,13.0,14.0,2024-11-18,,,WAS,"W, 134-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0
Jacob Toppin,toppija01,2025,5,14.0,15.0,2024-11-20,,,PHO,"W, 138-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Jacob Toppin,toppija01,2025,6,15.0,20.0,2024-12-01,,,NOP,"W, 118-85",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,-5.0
Jacob Toppin,toppija01,2025,7,16.0,22.0,2024-12-05,,,CHO,"W, 125-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Jacob Toppin,toppija01,2025,8,17.0,29.0,2024-12-23,,,TOR,"W, 139-125",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Jacob Toppin,toppija01,2025,9,18.0,33.0,2024-12-30,,,WAS,"W, 126-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
Jacob Toppin,toppija01,2025,10,19.0,36.0,2025-01-04,,,CHI,"L, 126-139",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Toppin,toppija01,2025,11,20.0,38.0,2025-01-08,,,TOR,"W, 112-98",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-12.0
Jacob Toppin,toppija01,2025,12,21.0,39.0,2025-01-10,,,OKC,"L, 101-126",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,-3.0
Jacob Toppin,toppija01,2025,13,22.0,40.0,2025-01-12,,,MIL,"W, 140-106",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9,4.0
Jacob Toppin,toppija01,2025,14,23.0,46.0,2025-01-25,,,SAC,"W, 143-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Jacob Toppin,toppija01,2025,15,24.0,47.0,2025-01-27,,,MEM,"W, 143-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,3.0
Jacob Toppin,toppija01,2025,16,25.0,49.0,2025-02-01,,,LAL,"L, 112-128",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
Jacob Toppin,toppija01,2025,17,26.0,82.0,2025-04-13,,,ORL,"W, 117-105",,,6.0,12.0,0.5,5.0,8.0,0.625,1.0,4.0,0.25,0.708,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,13.0,-7.0
