player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daniel Gafford,gaffoda01,2025,22,343.0,23.0,2024-12-05,,,WAS,"W, 137-101",,,6.0,9.0,0.667,0.0,0.0,6.0,9.0,0.667,0.667,4.0,6.0,0.667,3.0,4.0,7.0,1.0,0.0,2.0,0.0,3.0,16.0,15.5,24.0
Daniel Gafford,gaffoda01,2025,23,344.0,24.0,2024-12-07,,,TOR,"W, 125-118",,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,0.0,0.0,,3.0,3.0,6.0,0.0,1.0,3.0,4.0,2.0,10.0,9.1,4.0
Daniel Gafford,gaffoda01,2025,24,345.0,25.0,2024-12-10,,,OKC,"L, 104-118",,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,3.0,0.333,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,8.3,0.0
Daniel Gafford,gaffoda01,2025,25,346.0,26.0,2024-12-15,,,GSW,"W, 143-133",,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,0.0,0.0,,4.0,5.0,9.0,1.0,0.0,0.0,3.0,3.0,10.0,7.9,0.0
Daniel Gafford,gaffoda01,2025,26,347.0,27.0,2024-12-19,,,LAC,"L, 95-118",,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,-12.0
Daniel Gafford,gaffoda01,2025,27,348.0,28.0,2024-12-21,,,LAC,"W, 113-97",,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,5.0,7.0,0.714,1.0,5.0,6.0,2.0,0.0,2.0,2.0,5.0,13.0,11.3,3.0
Daniel Gafford,gaffoda01,2025,28,349.0,29.0,2024-12-23,,,POR,"W, 132-108",,,7.0,7.0,1.0,0.0,0.0,7.0,7.0,1.0,1.0,9.0,14.0,0.643,1.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,23.0,22.9,10.0
Daniel Gafford,gaffoda01,2025,29,350.0,30.0,2024-12-25,,,MIN,"L, 99-105",,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.5,-9.0
Daniel Gafford,gaffoda01,2025,30,351.0,31.0,2024-12-27,,,PHO,"W, 98-89",*,,7.0,11.0,0.636,0.0,0.0,7.0,11.0,0.636,0.636,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,1.0,4.0,16.0,12.9,8.0
Daniel Gafford,gaffoda01,2025,31,352.0,32.0,2024-12-28,,,POR,"L, 122-126",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,3.0,4.0,0.75,4.0,5.0,9.0,0.0,1.0,5.0,3.0,4.0,15.0,15.6,-5.0
Daniel Gafford,gaffoda01,2025,32,353.0,33.0,2024-12-30,,,SAC,"L, 100-110",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,5.0,3.0,5.0,8.0,7.0,-12.0
Daniel Gafford,gaffoda01,2025,33,354.0,34.0,2025-01-01,,,HOU,"L, 99-110",,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,2.0,2.0,4.0,2.5,-27.0
Daniel Gafford,gaffoda01,2025,34,355.0,35.0,2025-01-03,,,CLE,"L, 122-134",,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,4.0,0.5,5.0,3.0,8.0,2.0,0.0,1.0,1.0,0.0,12.0,14.5,-2.0
Daniel Gafford,gaffoda01,2025,35,356.0,36.0,2025-01-06,,,MEM,"L, 104-119",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,1.0,3.0,0.333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,3.1,6.0
Daniel Gafford,gaffoda01,2025,36,357.0,38.0,2025-01-09,,,POR,"W, 117-111",,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,2.0,2.6,-4.0
Daniel Gafford,gaffoda01,2025,37,358.0,39.0,2025-01-12,,,DEN,"L, 101-112",,,2.0,7.0,0.286,0.0,0.0,2.0,7.0,0.286,0.286,4.0,6.0,0.667,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,8.0,3.9,-7.0
Daniel Gafford,gaffoda01,2025,38,359.0,40.0,2025-01-14,,,DEN,"L, 99-118",,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,3.0,4.0,0.75,1.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,13.0,9.8,-6.0
Daniel Gafford,gaffoda01,2025,39,360.0,41.0,2025-01-15,,,NOP,"L, 116-119",*,,12.0,13.0,0.923,0.0,0.0,12.0,13.0,0.923,0.923,3.0,4.0,0.75,3.0,9.0,12.0,2.0,0.0,2.0,1.0,1.0,27.0,28.5,-5.0
Daniel Gafford,gaffoda01,2025,40,361.0,42.0,2025-01-17,,,OKC,"W, 106-98",*,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,4.0,8.0,0.5,1.0,5.0,6.0,2.0,1.0,2.0,5.0,5.0,8.0,4.1,13.0
Daniel Gafford,gaffoda01,2025,41,362.0,43.0,2025-01-20,,,CHO,"L, 105-110",*,,12.0,15.0,0.8,0.0,0.0,12.0,15.0,0.8,0.8,7.0,7.0,1.0,8.0,7.0,15.0,3.0,1.0,7.0,0.0,1.0,31.0,40.6,-3.0
Daniel Gafford,gaffoda01,2025,42,363.0,44.0,2025-01-22,,,MIN,"L, 114-115",*,,6.0,11.0,0.545,0.0,0.0,6.0,11.0,0.545,0.545,2.0,2.0,1.0,2.0,10.0,12.0,2.0,1.0,3.0,1.0,4.0,14.0,15.0,8.0
Daniel Gafford,gaffoda01,2025,43,364.0,45.0,2025-01-23,,,OKC,"W, 121-115",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,5.0,12.0,10.2,1.0
Daniel Gafford,gaffoda01,2025,44,365.0,46.0,2025-01-25,,,BOS,"L, 107-122",*,,6.0,12.0,0.5,0.0,0.0,6.0,12.0,0.5,0.5,7.0,9.0,0.778,8.0,7.0,15.0,2.0,0.0,3.0,0.0,4.0,19.0,21.8,3.0
Daniel Gafford,gaffoda01,2025,45,366.0,47.0,2025-01-27,,,WAS,"W, 130-108",*,,8.0,13.0,0.615,0.0,0.0,8.0,13.0,0.615,0.615,2.0,2.0,1.0,6.0,2.0,8.0,3.0,0.0,5.0,1.0,2.0,18.0,20.7,25.0
Daniel Gafford,gaffoda01,2025,46,367.0,48.0,2025-01-29,,,NOP,"W, 137-136",*,,9.0,9.0,1.0,0.0,0.0,9.0,9.0,1.0,1.0,4.0,4.0,1.0,5.0,7.0,12.0,3.0,0.0,4.0,2.0,5.0,22.0,25.8,8.0
Daniel Gafford,gaffoda01,2025,47,368.0,49.0,2025-01-31,,,DET,"L, 102-117",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,4.0,6.0,0.667,5.0,5.0,10.0,3.0,0.0,5.0,3.0,1.0,16.0,19.2,-2.0
Daniel Gafford,gaffoda01,2025,48,369.0,51.0,2025-02-04,,,PHI,"L, 116-118",*,,5.0,10.0,0.5,0.0,0.0,5.0,10.0,0.5,0.5,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,2.0,1.0,3.0,12.0,8.8,12.0
Daniel Gafford,gaffoda01,2025,49,370.0,52.0,2025-02-06,,,BOS,"W, 127-120",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,2.0,3.0,0.667,2.0,13.0,15.0,5.0,0.0,2.0,1.0,4.0,8.0,13.6,8.0
Daniel Gafford,gaffoda01,2025,50,371.0,53.0,2025-02-08,,,HOU,"W, 116-105",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,4.0,0.25,5.0,4.0,9.0,1.0,1.0,6.0,1.0,4.0,5.0,9.8,0.0
Daniel Gafford,gaffoda01,2025,51,372.0,54.0,2025-02-10,,,SAC,"L, 128-129 (OT)",*,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,5.1,9.0
Daniel Gafford,gaffoda01,2025,52,373.0,76.0,2025-03-31,,,BRK,"L, 109-113",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,3.0,6.0,0.5,5.0,2.0,7.0,2.0,0.0,0.0,1.0,2.0,17.0,16.0,-6.0
Daniel Gafford,gaffoda01,2025,53,374.0,77.0,2025-04-02,,,ATL,"W, 120-118",,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,1.0,0.0,5.0,11.0,8.6,1.0
Daniel Gafford,gaffoda01,2025,54,375.0,78.0,2025-04-04,,,LAC,"L, 91-114",*,,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,2.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,-4.0
Daniel Gafford,gaffoda01,2025,55,376.0,80.0,2025-04-09,,,LAL,"L, 97-112",,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,2.0,2.0,1.0,2.0,4.0,6.0,3.0,0.0,2.0,0.0,3.0,10.0,12.3,7.0
Daniel Gafford,gaffoda01,2025,56,377.0,81.0,2025-04-11,,,TOR,"W, 124-102",,,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,6.0,0.667,1.0,6.0,7.0,1.0,0.0,1.0,1.0,3.0,12.0,11.7,-1.0
Daniel Gafford,gaffoda01,2025,57,378.0,82.0,2025-04-13,,,MEM,"L, 97-132",*,,8.0,10.0,0.8,0.0,0.0,8.0,10.0,0.8,0.8,4.0,5.0,0.8,5.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,20.0,20.6,-10.0
