player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Bridges,bridgja01,2025,1,1.0,12.0,2024-11-13,,,SAC,"L, 104-127",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.5,-3.0
Jalen Bridges,bridgja01,2025,2,2.0,13.0,2024-11-15,,,OKC,"L, 83-99",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,8.0
Jalen Bridges,bridgja01,2025,3,3.0,28.0,2024-12-23,,,DEN,"L, 90-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-5.0
Jalen Bridges,bridgja01,2025,4,4.0,30.0,2024-12-27,,,DAL,"L, 89-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jalen Bridges,bridgja01,2025,5,5.0,50.0,2025-02-05,,,OKC,"L, 109-140",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.7,-2.0
Jalen Bridges,bridgja01,2025,6,6.0,80.0,2025-04-09,,,OKC,"L, 112-125",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
Jalen Bridges,bridgja01,2025,7,7.0,81.0,2025-04-11,,,SAS,"W, 117-98",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0
Jalen Bridges,bridgja01,2025,8,8.0,82.0,2025-04-13,,,SAC,"L, 98-109",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.0
