player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Joe Ingles,inglejo01,2025,1,705.0,1.0,2024-10-22,,,LAL,"L, 103-110",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,1.0
Joe Ingles,inglejo01,2025,2,706.0,2.0,2024-10-24,,,SAC,"W, 117-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-1.0
Joe Ingles,inglejo01,2025,3,707.0,3.0,2024-10-26,,,TOR,"W, 112-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,2.3,1.0
Joe Ingles,inglejo01,2025,4,708.0,4.0,2024-10-29,,,DAL,"L, 114-120",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
Joe Ingles,inglejo01,2025,5,709.0,5.0,2024-11-01,,,DEN,"W, 119-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0
Joe Ingles,inglejo01,2025,6,710.0,13.0,2024-11-15,,,SAC,"W, 130-126 (OT)",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Ingles,inglejo01,2025,7,711.0,14.0,2024-11-17,,,PHO,"W, 120-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
Joe Ingles,inglejo01,2025,8,712.0,35.0,2025-01-06,,,LAC,"W, 108-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Joe Ingles,inglejo01,2025,9,713.0,42.0,2025-01-18,,,CLE,"L, 117-124",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-16.0
Joe Ingles,inglejo01,2025,10,714.0,48.0,2025-01-30,,,UTA,"W, 138-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,-2.0
Joe Ingles,inglejo01,2025,11,715.0,49.0,2025-02-01,,,WAS,"L, 103-105",,,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,10.0,6.4,11.0
Joe Ingles,inglejo01,2025,12,716.0,50.0,2025-02-03,,,SAC,"L, 114-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Ingles,inglejo01,2025,13,717.0,53.0,2025-02-08,,,POR,"W, 114-98",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,-0.9,-1.0
Joe Ingles,inglejo01,2025,14,718.0,54.0,2025-02-10,,,CLE,"L, 107-128",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
Joe Ingles,inglejo01,2025,15,719.0,55.0,2025-02-12,,,MIL,"L, 101-103",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,4.6,8.0
Joe Ingles,inglejo01,2025,16,720.0,56.0,2025-02-13,,,OKC,"W, 116-101",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Joe Ingles,inglejo01,2025,17,721.0,59.0,2025-02-24,,,OKC,"W, 131-128 (OT)",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,-0.3,1.0
Joe Ingles,inglejo01,2025,18,722.0,65.0,2025-03-07,,,MIA,"W, 106-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Joe Ingles,inglejo01,2025,19,723.0,72.0,2025-03-21,,,NOP,"W, 134-93",*,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-3.2,1.0
