player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
TyTy Washington Jr.,washity01,2026,1,59.0,41.0,2026-01-16,,,TOR,"W, 121-117 (OT)",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.7,2.0
TyTy Washington Jr.,washity01,2026,2,60.0,43.0,2026-01-20,,,CHI,"L, 110-138",,,5.0,6.0,0.833,1.0,2.0,0.5,4.0,4.0,1.0,0.917,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,11.5,-9.0
TyTy Washington Jr.,washity01,2026,3,61.0,50.0,2026-02-04,,,CLE,"L, 91-124",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.4,-5.0
TyTy Washington Jr.,washity01,2026,4,62.0,52.0,2026-02-08,,,MIN,"W, 115-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.1,-6.0
TyTy Washington Jr.,washity01,2026,5,63.0,53.0,2026-02-10,,,HOU,"L, 95-102",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.6,8.0
TyTy Washington Jr.,washity01,2026,6,64.0,60.0,2026-03-02,,,GSW,"W, 114-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-4.0
TyTy Washington Jr.,washity01,2026,7,65.0,61.0,2026-03-04,,,IND,"W, 130-107",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,-0.7,-14.0
TyTy Washington Jr.,washity01,2026,8,66.0,63.0,2026-03-07,,,MEM,"W, 123-120",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
TyTy Washington Jr.,washity01,2026,9,67.0,67.0,2026-03-14,,,SAC,"L, 109-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TyTy Washington Jr.,washity01,2026,10,68.0,72.0,2026-03-23,,,MIL,"W, 129-96",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0
TyTy Washington Jr.,washity01,2026,11,69.0,76.0,2026-03-31,,,POR,"L, 104-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
TyTy Washington Jr.,washity01,2026,12,70.0,77.0,2026-04-02,,,SAS,"L, 99-118",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,2.0
TyTy Washington Jr.,washity01,2026,13,71.0,78.0,2026-04-05,,,SAC,"W, 138-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-1.0
TyTy Washington Jr.,washity01,2026,14,72.0,79.0,2026-04-07,,,DAL,"W, 116-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
TyTy Washington Jr.,washity01,2026,15,73.0,80.0,2026-04-08,,,OKC,"L, 110-128",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.7,5.0
TyTy Washington Jr.,washity01,2026,16,74.0,81.0,2026-04-10,,,POR,"L, 97-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
