player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Lowry,lowryky01,2026,1,1174.0,6.0,2025-11-02,,,BRK,"W, 129-105",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.4,-2.0
Kyle Lowry,lowryky01,2026,2,1175.0,18.0,2025-11-28,,,BRK,"W, 115-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,10.0
Kyle Lowry,lowryky01,2026,3,1176.0,22.0,2025-12-05,,,MIL,"W, 116-101",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.9,3.0
Kyle Lowry,lowryky01,2026,4,1177.0,25.0,2025-12-14,,,ATL,"L, 117-120",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.5,-3.0
Kyle Lowry,lowryky01,2026,5,1178.0,28.0,2025-12-23,,,BRK,"L, 106-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7,3.0
Kyle Lowry,lowryky01,2026,6,1179.0,38.0,2026-01-12,,,TOR,"W, 115-102",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-4.0
Kyle Lowry,lowryky01,2026,7,1180.0,53.0,2026-02-09,,,POR,"L, 118-135",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.75,3.0,4.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,7.3,9.0
Kyle Lowry,lowryky01,2026,8,1181.0,62.0,2026-03-04,,,UTA,"W, 106-102",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.5,-7.0
Kyle Lowry,lowryky01,2026,9,1182.0,66.0,2026-03-12,,,DET,"L, 109-131",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-10.0
Kyle Lowry,lowryky01,2026,10,1183.0,68.0,2026-03-15,,,POR,"W, 109-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Kyle Lowry,lowryky01,2026,11,1184.0,69.0,2026-03-17,,,DEN,"L, 96-124",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,-0.9,0.0
Kyle Lowry,lowryky01,2026,12,1185.0,70.0,2026-03-19,,,SAC,"W, 139-118",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.4,-21.0
Kyle Lowry,lowryky01,2026,13,1186.0,73.0,2026-03-25,,,CHI,"W, 157-137",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,-11.0
Kyle Lowry,lowryky01,2026,14,1187.0,82.0,2026-04-12,,,MIL,"W, 126-106",,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-6.0
