player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daniel Gafford,gaffoda01,2026,22,400.0,33.0,2025-12-27,,,SAC,"L, 107-113",*,,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,2.0,1.0,11.0,10.6,-9.0
Daniel Gafford,gaffoda01,2026,23,401.0,34.0,2025-12-29,,,POR,"L, 122-125",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,3.0,4.0,0.75,2.0,8.0,10.0,0.0,1.0,3.0,2.0,5.0,17.0,16.0,2.0
Daniel Gafford,gaffoda01,2026,24,402.0,35.0,2026-01-01,,,PHI,"L, 108-123",,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,2.0,1.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,8.0,8.8,-1.0
Daniel Gafford,gaffoda01,2026,25,403.0,36.0,2026-01-03,,,HOU,"W, 110-104",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,1.0,2.0,0.5,0.0,8.0,8.0,1.0,0.0,2.0,1.0,0.0,9.0,10.2,-3.0
Daniel Gafford,gaffoda01,2026,26,404.0,37.0,2026-01-06,,,SAC,"W, 100-98",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,0.0,0.0,,7.0,6.0,13.0,0.0,1.0,1.0,2.0,2.0,10.0,12.0,11.0
Daniel Gafford,gaffoda01,2026,27,405.0,38.0,2026-01-08,,,UTA,"L, 114-116",*,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,7.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,-1.5,0.0
Daniel Gafford,gaffoda01,2026,28,406.0,39.0,2026-01-10,,,CHI,"L, 107-125",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,2.0,3.0,0.667,3.0,4.0,7.0,0.0,0.0,1.0,0.0,2.0,6.0,5.4,-10.0
Daniel Gafford,gaffoda01,2026,29,407.0,41.0,2026-01-14,,,DEN,"L, 109-118",*,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,0.5,4.0,6.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,-6.0
Daniel Gafford,gaffoda01,2026,30,408.0,46.0,2026-01-24,,,LAL,"L, 110-116",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,3.2,-5.0
Daniel Gafford,gaffoda01,2026,31,409.0,47.0,2026-01-28,,,MIN,"L, 105-118",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,4.0,5.0,0.8,5.0,1.0,6.0,0.0,1.0,0.0,2.0,3.0,14.0,11.6,-6.0
Daniel Gafford,gaffoda01,2026,32,410.0,48.0,2026-01-29,,,CHO,"L, 121-123",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,1.0,2.0,0.5,2.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,5.0,6.4,-8.0
Daniel Gafford,gaffoda01,2026,33,411.0,49.0,2026-01-31,,,HOU,"L, 107-111",*,,7.0,10.0,0.7,0.0,0.0,7.0,10.0,0.7,0.7,2.0,2.0,1.0,5.0,6.0,11.0,1.0,0.0,0.0,0.0,1.0,16.0,17.4,1.0
Daniel Gafford,gaffoda01,2026,34,412.0,50.0,2026-02-03,,,BOS,"L, 100-110",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,2.0,4.0,0.5,4.0,8.0,12.0,1.0,1.0,2.0,2.0,1.0,10.0,13.2,-11.0
Daniel Gafford,gaffoda01,2026,35,413.0,51.0,2026-02-05,,,SAS,"L, 123-135",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,6.0,8.0,0.75,4.0,6.0,10.0,2.0,3.0,4.0,0.0,6.0,16.0,21.0,2.0
Daniel Gafford,gaffoda01,2026,36,414.0,52.0,2026-02-07,,,SAS,"L, 125-138",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,0.0,0.0,5.0,9.0,6.9,0.0
Daniel Gafford,gaffoda01,2026,37,415.0,53.0,2026-02-10,,,PHO,"L, 111-120",*,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,2.5,-16.0
Daniel Gafford,gaffoda01,2026,38,416.0,54.0,2026-02-12,,,LAL,"L, 104-124",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,1.0,2.0,3.0,2.0,1.8,-2.0
Daniel Gafford,gaffoda01,2026,39,417.0,55.0,2026-02-20,,,MIN,"L, 111-122",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,0.0,0.0,,1.0,4.0,5.0,1.0,2.0,2.0,1.0,4.0,8.0,8.1,-6.0
Daniel Gafford,gaffoda01,2026,40,418.0,56.0,2026-02-22,,,IND,"W, 134-130",*,,3.0,7.0,0.429,0.0,0.0,3.0,7.0,0.429,0.429,2.0,4.0,0.5,3.0,3.0,6.0,2.0,1.0,0.0,0.0,2.0,8.0,8.1,10.0
Daniel Gafford,gaffoda01,2026,41,419.0,57.0,2026-02-24,,,BRK,"W, 123-114",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0,9.0,9.1,-5.0
Daniel Gafford,gaffoda01,2026,42,420.0,59.0,2026-02-27,,,MEM,"L, 105-124",*,,7.0,8.0,0.875,0.0,0.0,7.0,8.0,0.875,0.875,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,2.0,1.0,14.0,12.1,-20.0
Daniel Gafford,gaffoda01,2026,43,421.0,60.0,2026-03-01,,,OKC,"L, 87-100",*,,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,2.0,2.0,1.0,2.0,5.0,7.0,2.0,1.0,0.0,1.0,1.0,8.0,6.8,-9.0
Daniel Gafford,gaffoda01,2026,44,422.0,61.0,2026-03-03,,,CHO,"L, 90-117",*,,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,0.0,0.0,,3.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,10.0,12.1,-19.0
Daniel Gafford,gaffoda01,2026,45,423.0,62.0,2026-03-05,,,ORL,"L, 114-115",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,4.0,0.5,3.0,10.0,13.0,1.0,0.0,2.0,1.0,3.0,12.0,14.0,6.0
Daniel Gafford,gaffoda01,2026,46,424.0,64.0,2026-03-08,,,TOR,"L, 92-122",*,,10.0,10.0,1.0,0.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,11.0,3.0,0.0,1.0,1.0,0.0,21.0,25.5,-8.0
Daniel Gafford,gaffoda01,2026,47,425.0,65.0,2026-03-10,,,ATL,"L, 112-124",*,,6.0,9.0,0.667,0.0,0.0,6.0,9.0,0.667,0.667,2.0,4.0,0.5,5.0,5.0,10.0,1.0,1.0,0.0,1.0,4.0,14.0,13.4,-22.0
Daniel Gafford,gaffoda01,2026,48,426.0,66.0,2026-03-12,,,MEM,"W, 120-112",*,,9.0,12.0,0.75,0.0,0.0,9.0,12.0,0.75,0.75,4.0,7.0,0.571,6.0,8.0,14.0,1.0,0.0,1.0,2.0,3.0,22.0,20.8,6.0
Daniel Gafford,gaffoda01,2026,49,427.0,70.0,2026-03-18,,,ATL,"L, 120-135",,,9.0,10.0,0.9,0.0,0.0,9.0,10.0,0.9,0.9,6.0,7.0,0.857,4.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,24.0,23.5,7.0
Daniel Gafford,gaffoda01,2026,50,428.0,71.0,2026-03-21,,,LAC,"L, 131-138 (OT)",*,,3.0,8.0,0.375,0.0,0.0,3.0,8.0,0.375,0.375,1.0,2.0,0.5,6.0,7.0,13.0,1.0,0.0,0.0,1.0,2.0,7.0,7.4,0.0
Daniel Gafford,gaffoda01,2026,51,429.0,72.0,2026-03-23,,,GSW,"L, 131-137 (OT)",*,,8.0,8.0,1.0,0.0,0.0,8.0,8.0,1.0,1.0,4.0,8.0,0.5,2.0,5.0,7.0,5.0,1.0,1.0,0.0,3.0,20.0,22.9,-5.0
Daniel Gafford,gaffoda01,2026,52,430.0,75.0,2026-03-30,,,MIN,"L, 94-124",*,,9.0,11.0,0.818,0.0,0.0,9.0,11.0,0.818,0.818,3.0,8.0,0.375,5.0,3.0,8.0,2.0,0.0,1.0,1.0,4.0,21.0,18.8,-23.0
Daniel Gafford,gaffoda01,2026,53,431.0,76.0,2026-03-31,,,MIL,"L, 99-123",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,3.0,6.0,0.5,4.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,7.0,5.1,-15.0
Daniel Gafford,gaffoda01,2026,54,432.0,77.0,2026-04-03,,,ORL,"L, 127-138",*,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,3.0,6.0,0.5,0.0,3.0,3.0,1.0,2.0,2.0,0.0,5.0,7.0,7.5,3.0
Daniel Gafford,gaffoda01,2026,55,433.0,78.0,2026-04-05,,,LAL,"W, 134-128",*,,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,3.0,4.0,0.75,3.0,4.0,7.0,0.0,2.0,2.0,0.0,3.0,7.0,10.1,19.0
