player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Markelle Fultz,fultzma01,2026,1,256.0,71.0,2026-03-23,,,UTA,"W, 143-127",,,1.0,5.0,0.2,0.0,0.0,1.0,5.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,2.0,1.0,-15.0
Markelle Fultz,fultzma01,2026,2,257.0,72.0,2026-03-25,,,LAC,"L, 94-119",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,-7.0
Markelle Fultz,fultzma01,2026,3,258.0,73.0,2026-03-27,,,NOP,"W, 119-106",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.4,-7.0
Markelle Fultz,fultzma01,2026,4,259.0,74.0,2026-03-29,,,ORL,"W, 139-87",,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-7.0
Markelle Fultz,fultzma01,2026,5,260.0,75.0,2026-03-31,,,DET,"L, 116-127",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
