player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trevor Keels,keelstr01,2026,1,4.0,58.0,2026-02-21,,,MEM,"W, 136-120",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-8.0
Trevor Keels,keelstr01,2026,2,5.0,63.0,2026-03-05,,,BRK,"W, 126-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Keels,keelstr01,2026,3,6.0,65.0,2026-03-08,,,DET,"W, 121-110",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-3.0
Trevor Keels,keelstr01,2026,4,7.0,66.0,2026-03-10,,,WAS,"W, 150-129",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Trevor Keels,keelstr01,2026,5,8.0,79.0,2026-04-07,,,TOR,"L, 95-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Trevor Keels,keelstr01,2026,6,9.0,80.0,2026-04-09,,,TOR,"L, 114-128",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0
Trevor Keels,keelstr01,2026,7,10.0,81.0,2026-04-10,,,WAS,"W, 140-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Keels,keelstr01,2026,8,11.0,82.0,2026-04-12,,,ATL,"W, 143-117",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3,8.0
