player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
DeJon Jarreau,jarrede01,2026,1,11.0,66.0,2026-03-13,,,DET,"L, 110-126",,2,6,0.333,0,2,0.0,2,4,0.5,0.333,2,2,1.0,2,5,7,3,1,0,3,2,6,4.8,-3
DeJon Jarreau,jarrede01,2026,2,12.0,67.0,2026-03-16,,,CHI,"L, 107-132",,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,2,0.5,1,4,5,6,0,0,2,4,5,5.1,-3
DeJon Jarreau,jarrede01,2026,3,13.0,68.0,2026-03-18,,,DEN,"W, 125-118",,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,2,2,4,4,1,1,0,1,4,9.5,2
DeJon Jarreau,jarrede01,2026,4,14.0,69.0,2026-03-20,,,BOS,"L, 112-117",,6,14,0.429,1,5,0.2,5,9,0.556,0.464,0,1,0.0,1,5,6,2,1,1,3,2,13,6.7,-10
DeJon Jarreau,jarrede01,2026,5,15.0,70.0,2026-03-21,,,CHO,"L, 101-124",,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,0,3,3,4,0,0,3,2,4,0.8,-10
DeJon Jarreau,jarrede01,2026,6,16.0,71.0,2026-03-23,,,ATL,"L, 107-146",,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,0,6,6,4,1,0,3,4,7,5.0,-19
DeJon Jarreau,jarrede01,2026,7,17.0,72.0,2026-03-25,,,SAS,"L, 98-123",,5,15,0.333,2,11,0.182,3,4,0.75,0.4,3,4,0.75,0,2,2,1,3,0,2,1,15,8.0,-6
DeJon Jarreau,jarrede01,2026,8,18.0,73.0,2026-03-27,,,HOU,"L, 109-119",,2,8,0.25,0,2,0.0,2,6,0.333,0.25,0,0,,4,2,6,3,0,0,1,4,4,2.1,-13
DeJon Jarreau,jarrede01,2026,9,19.0,74.0,2026-03-28,,,CHI,"W, 125-124",,5,7,0.714,0,0,,5,7,0.714,0.714,4,5,0.8,1,1,2,3,1,2,1,4,14,13.6,-19
DeJon Jarreau,jarrede01,2026,10,20.0,75.0,2026-03-30,,,PHO,"L, 105-131",,4,11,0.364,0,2,0.0,4,9,0.444,0.364,4,4,1.0,1,7,8,4,0,2,4,2,12,8.1,-24
DeJon Jarreau,jarrede01,2026,11,21.0,76.0,2026-04-01,,,NYK,"L, 119-130",,1,5,0.2,0,3,0.0,1,2,0.5,0.2,2,3,0.667,0,2,2,2,2,2,4,2,4,1.1,-7
