player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Slawson,slawsja01,2024,1,1.0,10.0,2023-11-15,,,LAL,"W, 125-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jalen Slawson,slawsja01,2024,2,2.0,12.0,2023-11-19,,,DAL,"W, 129-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
Jalen Slawson,slawsja01,2024,3,3.0,13.0,2023-11-20,,,NOP,"L, 93-129",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,4.3,-5.0
Jalen Slawson,slawsja01,2024,4,4.0,17.0,2023-11-29,,,LAC,"L, 117-131",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Slawson,slawsja01,2024,5,5.0,21.0,2023-12-11,,,BRK,"W, 131-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,-6.0
Jalen Slawson,slawsja01,2024,6,6.0,64.0,2024-03-12,,,MIL,"W, 129-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-1.0
Jalen Slawson,slawsja01,2024,7,7.0,68.0,2024-03-20,,,TOR,"W, 123-89",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.2,3.0
Jalen Slawson,slawsja01,2024,8,8.0,71.0,2024-03-25,,,PHI,"W, 108-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Jalen Slawson,slawsja01,2024,9,9.0,72.0,2024-03-26,,,DAL,"L, 96-132",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Jalen Slawson,slawsja01,2024,10,10.0,75.0,2024-04-02,,,LAC,"W, 109-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Jalen Slawson,slawsja01,2024,11,11.0,80.0,2024-04-11,,,NOP,"L, 123-135",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Slawson,slawsja01,2024,12,12.0,82.0,2024-04-14,,,POR,"W, 121-82",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,5.0
