team,player_id,win_shares,H2H_value,rank_WS,rank_H2H,rank_diff
0,davisan02,2.621,3.730775864884401,59.0,35.0,24.0
0,doncilu01,2.254,4.175332952283186,74.0,18.0,56.0
0,okongon01,2.038,3.410721390706474,81.0,48.0,33.0
0,wallaca01,1.948,3.298738698531697,83.0,51.0,32.0
0,wagnefr01,1.932,4.127628721674802,84.0,23.0,61.0
0,murrake02,1.835,4.034994969761894,85.0,24.0,61.0
0,vassede01,1.456,2.346710878723882,102.0,100.0,2.0
0,wiggiaa01,1.321,2.8325381252961512,108.0,71.0,37.0
0,colliza01,0.863,2.333066275853945,117.0,102.0,15.0
0,ingrabr01,0.655,1.350854208019412,119.0,120.0,-1.0
1,anunoog01,2.317,3.717254336162333,69.0,36.0,33.0
1,jacksja02,2.058,4.172925075078366,78.0,19.0,59.0
1,vucevni01,2.044,5.163079691125506,79.0,4.0,75.0
1,oubreke01,1.633,1.9025519390390992,91.0,118.0,-27.0
1,hartjo01,1.61,4.156565976332546,93.0,20.0,73.0
1,sabondo01,1.553,3.3985594858837653,96.0,49.0,47.0
1,thompkl01,1.511,2.6025350955307496,98.0,89.0,9.0
1,joneshe01,1.449,2.212804867739385,103.0,110.0,-7.0
1,jaqueja01,0.843,2.653729303842665,118.0,85.0,33.0
1,randlju01,0.282,3.071892151995696,120.0,57.0,63.0
2,leonaka01,1.736,3.260263084435937,88.0,53.0,35.0
2,reaveau01,1.536,4.130799618154035,97.0,22.0,75.0
2,lavinza01,1.484,2.7924514542245285,100.0,74.0,26.0
2,jamesle01,1.472,4.244944000043728,101.0,16.0,85.0
2,jonesty01,1.443,2.975813740957362,104.0,65.0,39.0
2,brownja02,1.381,3.6849957342958537,105.0,38.0,67.0
2,bealbr01,1.202,2.317868257690812,110.0,104.0,6.0
2,carusal01,1.197,2.561520433796745,111.0,92.0,19.0
2,porteke02,0.914,2.204040274513347,115.0,111.0,4.0
2,jonestr01,0.869,2.1919476557650888,116.0,112.0,4.0
3,bridgmi01,4.052,5.495334357679836,14.0,1.0,13.0
3,bookede01,3.997,3.756329511987588,15.0,33.0,-18.0
3,garlada01,3.572,2.971015379817251,27.0,66.0,-39.0
3,siakapa01,3.531,4.681181457013995,31.0,10.0,21.0
3,banede01,3.151,2.990172113709994,37.0,63.0,-26.0
3,barneha02,2.702,3.934530710283209,53.0,27.0,26.0
3,sengual01,2.541,2.7100628422860757,63.0,79.0,-16.0
3,powelno01,2.273,2.629177679415414,72.0,87.0,-15.0
3,yabusgu01,2.216,2.491255657754259,75.0,96.0,-21.0
3,hachiru01,1.644,2.0623354990149445,90.0,117.0,-27.0
4,gilgesh01,4.502,5.418915459619491,4.0,2.0,2.0
4,whitede01,4.115,4.62839096822062,13.0,12.0,1.0
4,porzikr01,3.757,3.245331398864077,21.0,54.0,-33.0
4,reidna01,3.655,3.2604103024193183,23.0,52.0,-29.0
4,holmgch01,3.475,2.8979983191124354,32.0,68.0,-36.0
4,huntede01,3.023,2.2854865466047425,42.0,105.0,-63.0
4,embiijo01,3.002,2.077966933133189,44.0,116.0,-72.0
4,kispeco01,2.89,2.28197330606425,48.0,106.0,-58.0
4,camarto01,2.556,2.6830297027734664,62.0,81.0,-19.0
4,nesmiaa01,2.49,2.699573912043213,64.0,80.0,-16.0
5,antetgi01,3.923,2.714525822369485,16.0,77.0,-61.0
5,irvinky01,3.802,3.5239161536202688,19.0,44.0,-25.0
5,duranke01,3.587,3.97993178318807,26.0,25.0,1.0
5,vanvlfr01,3.538,3.1470314152339003,30.0,56.0,-26.0
5,butleji01,3.471,3.3826951442211075,33.0,50.0,-17.0
5,portibo01,3.014,3.0593760282940803,43.0,59.0,-16.0
5,giddejo01,2.721,4.131078333780371,52.0,21.0,31.0
5,conlemi01,2.657,2.345521530860218,56.0,101.0,-45.0
5,whiteco01,2.641,2.977631554096091,58.0,64.0,-6.0
5,buzelma01,1.19,2.7291707233838363,112.0,76.0,36.0
6,jokicni01,7.352,5.330348707151697,1.0,3.0,-2.0
6,curryst01,4.267,3.932915358032563,9.0,28.0,-19.0
6,lopezbr01,3.851,4.765288995121801,17.0,8.0,9.0
6,hardeja01,3.466,3.5334421243185297,34.0,43.0,-9.0
6,hieldbu01,2.776,3.5337189832900924,50.0,42.0,8.0
6,avdijde01,2.769,3.763489131222132,51.0,32.0,19.0
6,mccontj01,2.296,2.4013953395391416,70.0,98.0,-28.0
6,monkma01,2.059,2.560784386808153,77.0,93.0,-16.0
6,dortlu01,2.004,2.829208081908168,82.0,72.0,10.0
6,toppiob01,1.336,3.210007334036187,106.0,55.0,51.0
7,wembavi01,3.842,3.621984951213207,18.0,40.0,-22.0
7,willija06,3.637,4.713151106876584,24.0,9.0,15.0
7,murphtr02,3.32,3.5825637315201813,35.0,41.0,-6.0
7,murrade01,3.144,2.7144879469420164,38.0,78.0,-40.0
7,brunsja01,3.123,3.845781095632786,40.0,30.0,10.0
7,valanjo01,2.972,3.845658645736356,46.0,31.0,15.0
