team,player_id
0,doncilu01
0,davisan02
0,wagnefr01
0,murrake02
0,okongon01
0,wallaca01
0,vassede01
0,wiggiaa01
0,colliza01
0,ingrabr01
1,vucevni01
1,jacksja02
1,anunoog01
1,hartjo01
1,randlju01
1,sabondo01
1,joneshe01
1,jaqueja01
1,thompkl01
1,oubreke01
2,jamesle01
2,leonaka01
2,reaveau01
2,brownja02
2,lavinza01
2,bealbr01
2,carusal01
2,jonesty01
2,jonestr01
2,porteke02
3,bridgmi01
3,siakapa01
3,bookede01
3,banede01
3,barneha02
3,garlada01
3,powelno01
3,sengual01
3,yabusgu01
3,hachiru01
4,gilgesh01
4,whitede01
4,porzikr01
4,holmgch01
4,embiijo01
4,reidna01
4,nesmiaa01
4,huntede01
4,camarto01
4,kispeco01
5,duranke01
5,irvinky01
5,butleji01
5,giddejo01
5,vanvlfr01
5,portibo01
5,antetgi01
5,whiteco01
5,buzelma01
5,conlemi01
6,jokicni01
6,lopezbr01
6,curryst01
6,avdijde01
6,hardeja01
6,hieldbu01
6,toppiob01
6,dortlu01
6,monkma01
6,mccontj01
7,willija06
7,wembavi01
7,murphtr02
7,brunsja01
7,valanjo01
7,murrade01
7,johnsca02
7,cunnica01
7,dinwisp01
7,greendr01
8,derozde01
8,adebaba01
8,portemi01
8,georgpa01
8,horfoal01
8,braunch01
8,lillada01
8,poolejo01
8,mannte01
8,marshna01
9,halibty01
9,foxde01
9,townska01
9,holidjr01
9,maxeyty01
9,collijo01
9,mccolcj01
9,mobleev01
9,paulch01
9,allenja01
10,tatumja01
10,mitchdo01
10,murraja01
10,markkla01
10,allengr01
10,johnske04
10,herroty01
10,brownbr01
10,sextoco01
10,aldamsa01
11,edwaran01
11,harrito02
11,barnesc01
11,turnemy01
11,caldwke01
11,olynyke01
11,dosunay01
11,russeda01
11,divindo01
11,thompam01
