player_id,source_file_id,durability,durability_std,ROLE_mean,career_games,trajectory_stage,trajectory_factor,ROLE_mean_before_trajectory,ROLE_std,PTS_mean,PTS_std,REB_mean,REB_std,AST_mean,AST_std,STL_mean,STL_std,BLK_mean,BLK_std,TOV_mean,TOV_std,FG3M_mean,FG3M_std,PTS_per_role,REB_per_role,AST_per_role,STL_per_role,BLK_per_role,TOV_per_role,FG3M_per_role,FGA_per_role,FTA_per_role,FGA_mean,FGA_std,FGP_mean,FGP_std,FTA_mean,FTA_std,FTP_mean,FTP_std,source,train_seasons
Precious Achiuwa,achiupr01,66,8.272847151978574,16.995534494224184,393.0,prime_stable,1.0,16.995534494224184,10.041253360256121,8.796464586652874,7.281927487949061,6.5553849388173315,4.281308135676366,1.2424415896752692,1.455669839417597,0.8210690544735334,1.109243238268705,0.771825302870768,1.0520461469575202,0.9684778105362624,1.0661496340935723,0.33408307523169395,0.7318397451168712,0.5255986931028165,0.392734888731599,0.07427587283763643,0.049240062363939824,0.046383525143361,0.0580906160669583,0.01992210509219612,0.4349265833417356,0.10248251903015586,7.274230219485403,4.825721583734657,0.5123180039048115,0.2324627400281159,1.7151093246155587,2.409461553965218,0.5943133491775494,0.4718224394969514,nba_history,"2023,2024,2025,2026"
Steven Adams,adamsst01,46,12.041594578792296,15.201472188013135,796.0,prime_stable,1.0,15.201472188013135,8.334627722555137,5.759943024029299,4.2394937077106745,8.343952493116799,4.582139013603517,1.5603849388251607,1.5783048834177371,0.623488950148186,0.9269317174410265,0.6677199577863171,1.0020867144225016,1.2083932278687726,1.2354825709461361,0.0,0.0,0.38761628109350205,0.5622481318589927,0.10532443744611829,0.04187082048949324,0.044975736416285585,0.08167006303489015,0.0,0.2872258399334809,0.16127836328285572,4.266685274563797,2.9655400992381487,0.5327677543674441,0.30449149381056906,2.391421990243881,2.521273633905088,0.5119287806768571,0.41544112430048347,nba_history,"2023,2024,2025,2026"
Bam Adebayo,adebaba01,73,8.0,31.80514877820488,640.0,prime_stable,1.0,31.80514877820488,10.006462604461518,19.417401723619356,9.381732617670282,9.915825989666809,3.9135790578790077,3.684631946469304,2.50380682371377,1.19803296286748,1.3108294066325499,0.7414959941136656,1.146746057847409,1.9891702609392166,1.7061981043136187,1.047767031146935,1.5391771887599088,0.6113348317582565,0.31218173852752956,0.11604079624073987,0.03772684184873185,0.02333941762029135,0.06263313606732067,0.03300319214222435,0.47082855751242364,0.16425936813114683,14.953799794268157,5.403687837323951,0.4793837956588506,0.1676218465444629,5.218651806873625,4.988961911063091,0.7727728733864312,0.22998444835577286,nba_history,"2023,2024,2025,2026"
Ochai Agbaji,agbajoc01,65,8.0,9.725161317046586,263.0,prime_stable,1.0,9.725161317046586,7.877648893142377,6.288749865016532,6.644479973719257,2.514390864740809,2.3382147664553936,0.9645852590723194,1.2721749019818973,0.5020790559158184,0.9354985091936577,0.34776802799537637,0.7883160950477669,0.6158417165961713,1.0487747578002673,0.8566189135109703,1.4284994092431855,0.6104315271841705,0.24582711858661455,0.09370260530315545,0.04844216429755345,0.033962569897858806,0.06020112988767553,0.08224651870612568,0.527566542518631,0.07001521501455973,5.413689905417712,4.443856917489668,0.45604395497395483,0.27100766592138564,0.7055239577562549,1.4395709975605906,0.7620601951487963,0.5401807316345617,nba_history,"2023,2024,2025,2026"
Santi Aldama,aldamsa01,58,11.859173664298876,21.258825073744404,278.0,prime_stable,1.0,21.258825073744404,8.634203811672508,12.667817536977173,7.727224624221245,6.387549960959984,3.1752495657061246,2.6585877356104626,2.257371541780368,0.8025037199920394,1.0692107556037291,0.6834843382920737,1.0346631727826072,1.1687770468540917,1.2728521735214011,1.7229124417202621,1.7285680957229814,0.6014609334048069,0.3037289723868189,0.12587190880010277,0.03813007099542726,0.03259169576797084,0.05548858642089011,0.08201797757051907,0.48344132078842833,0.09520491879630259,10.18301297183245,4.740011772056284,0.4713700833542049,0.1968536491814385,2.006732348028713,2.2006824998517946,0.673398637146436,0.4161885582546426,nba_history,"2023,2024,2025,2026"
Nickeil Alexander-Walker,alexani01,76,8.0,22.99272240595287,459.0,prime_stable,1.0,22.99272240595287,10.998473021086232,14.413035535250504,9.91214107941411,3.376843754326338,2.3620548918316238,3.4064511111229754,2.1618017797860434,1.0212111889400295,1.165906168716375,0.5645780671994971,0.8480775274379968,1.638278098492913,1.5968880404114596,2.4522676925836953,1.9981916873372327,0.6463110131180385,0.15533681267774668,0.1564166647536387,0.0463693061113908,0.026172004003042645,0.07435973583005454,0.11087279268341371,0.5007154518535706,0.10399345680680935,11.1171856082108,6.196670862049488,0.4508218991914155,0.1869797268841444,2.353654216691763,2.837369963408112,0.8611948843056844,0.3010164643230502,nba_history,"2023,2024,2025,2026"
Grayson Allen,allengr01,62,9.66229786334493,22.244705081699347,454.0,prime_stable,1.0,22.244705081699347,9.04370583563604,14.641132200083966,8.157782408389275,3.616043214587756,2.194650487219192,3.224894933559628,2.5338657697825298,1.1491824247036142,1.2127673509038916,0.3691980270023869,0.7136724335355686,1.474475100556387,1.2687672068562204,2.9397485355003865,2.2767675057397696,0.6796069081740571,0.16978517696843093,0.14924248129714382,0.053294136877321256,0.01734330596126007,0.06856927004733954,0.13687149993548134,0.5035090774579072,0.11934476599143512,10.875039001845977,5.626393118013276,0.4333116980584101,0.19307662782126916,2.5840590034137865,2.9387047158475847,0.8547597118832456,0.2762885479971822,nba_history,"2023,2024,2025,2026"
Jarrett Allen,allenja01,69,11.452510641776326,23.026749576105388,624.0,prime_stable,1.0,23.026749576105388,8.743175342946188,15.085124063211342,7.665352805355172,9.537199428341562,4.251589731812101,2.0217468656642135,1.719835262700982,0.9096471682929406,1.0467036041826643,0.9484038444273037,1.1327745587227065,1.3559820704719263,1.1853004849964643,0.008749606940850068,0.10719351815546305,0.6584743985180995,0.41663185593592295,0.08813086882306534,0.039839107089716365,0.041404758325059125,0.059154136671830934,0.0003825099963493042,0.40373284084688227,0.1776783974107025,9.255884399870407,4.508292286190487,0.6551317816622833,0.1992657488580783,4.069434602786926,3.6153301864689826,0.7199358983053321,0.27870242043724647,nba_history,"2023,2024,2025,2026"
Jose Alvarado,alvarjo01,62,8.0,14.866663747751419,296.0,prime_stable,1.0,14.866663747751419,9.176968538860537,7.874475019989065,6.621705184515194,2.302236996303022,2.067372457542226,3.2296486815849406,2.6822570380885096,1.038384183166606,1.2857564016796135,0.18112052995561265,0.5197528846579861,1.1019648919357712,1.3869414997475242,1.5018228417792832,1.7166682788222176,0.5151635064476059,0.1518053287111451,0.21040455192758556,0.0680821303745173,0.011888345555072627,0.07179479509990615,0.09833954941885076,0.455745988713409,0.05957056373715216,6.9711213122225,4.491185123969562,0.40571711258294935,0.23286041519883321,0.9139179976789038,1.76990022868378,0.7713445071820134,0.5288312673932055,nba_history,"2023,2024,2025,2026"
Kyle Anderson,anderky01,59,13.891004283348272,15.279731414935531,757.0,prime_stable,1.0,15.279731414935531,8.315989357124314,6.605390339216477,5.054716530996004,3.7252778397295225,2.8773345820301497,3.246235856515697,2.5881199764271448,0.9294664662600023,1.12793988354268,0.6286393245143616,0.9405371232021696,0.9314711893387648,1.147794757548966,0.25796326408701087,0.6597758312419407,0.43668823883773594,0.24639522390045734,0.21350683298949724,0.06142886430162725,0.04154010503422722,0.061159198005677394,0.017096892231952963,0.35198930154849234,0.10047526553271686,5.3196596533726455,3.2413067341781523,0.49446452421667975,0.27372177813278187,1.5235146987276986,2.0702529627081914,0.7172155523142951,0.45648287465807097,nba_history,"2023,2024,2025,2026"
