team,PTS,REB,AST,STL,BLK,TOV,FG3M,FG_pct,FT_pct
1,665.8628780487805,209.06182926829274,125.60228048780488,36.30268292682927,20.521439024390244,71.04026829268292,75.00670731707318,0.4722264593523756,0.838508361416611
2,649.0964268292684,206.55113414634147,158.25830487804882,48.608256097560975,37.21934146341464,78.31582926829269,72.5154756097561,0.4618944268575558,0.8245530047676326
3,681.6541951219513,130.4685609756098,200.74164634146345,40.02728048780488,11.485036585365856,76.58008536585366,84.91384146341464,0.47342253838491943,0.8574784664747533
4,511.497512195122,285.3058292682927,73.41190243902439,32.73507317073171,41.84139024390244,55.17152439024392,26.914743902439024,0.5494550186798095,0.7710170748586075
5,593.6784512195122,218.48408536585367,132.9008048780488,43.06289024390244,26.363536585365857,69.566,62.96901219512195,0.48741793996586663,0.766451548980857
6,721.6095975609758,210.17858536585368,205.68031707317073,45.05114634146342,21.24576829268293,100.88741463414635,78.9289268292683,0.46137946660517015,0.8234509231628411
7,641.3468292682928,180.60298780487807,159.1092317073171,44.3779512195122,18.756670731707317,73.14086585365852,77.24115853658537,0.4738678878589242,0.7781421726989588
8,578.2348292682929,316.6753048780488,133.22246341463415,41.490963414634145,45.20582926829268,70.30731707317074,33.13339024390244,0.5418015156404103,0.6992934073621683
9,543.1369146341464,201.53,119.61360975609757,35.47608536585366,25.19078048780488,59.91487804878049,70.66371951219513,0.4800480151276504,0.8263259900792429
10,598.5309878048781,189.3399268292683,97.45869512195122,40.779865853658535,28.060524390243906,58.68262195121952,69.97310975609757,0.48326024176034227,0.8193623303100974
