team,player_id
0,duranke01
0,vucevni01
0,derozde01
0,queende01
0,ingrabr01
0,porteke01
0,braunch01
0,garlada01
0,harpedy01
0,huffja01
0,divindo01
1,wembavi01
1,brownja01
1,jacksja01
1,willija06
1,johnske01
1,siakapa01
1,wallaca01
1,raynama01
1,wiggiaa01
1,joeis01
1,larsspe01
2,jokicni01
2,anunoog01
2,portemi01
2,butleji01
2,markkla01
2,johnske04
2,vanvlfr01
2,lavinza01
2,horfoal01
2,brownbr01
2,kornelu01
3,halibty01
3,townska01
3,maxeyty01
3,curryst01
3,jaqueja01
3,wagnefr01
3,marshna01
3,lillada01
3,rolliry01
3,nesmiaa01
3,huertke01
4,edwaran01
4,flaggco01
4,reaveau01
4,lopezbr01
4,edgecvj01
4,barneha01
4,jonestr01
4,allengr01
4,grimequ01
4,millebr02
4,clingdo01
5,leonaka01
5,irvinky01
5,cunnica01
5,holmgch01
5,dosunay01
5,powelno01
5,herroty01
5,sengual01
5,filipky01
5,suggsja01
5,gordoaa01
6,murraja01
6,barnesc01
6,randlju01
6,giddejo01
6,davisan02
6,porzikr01
6,portibo01
6,georgpa01
6,toppiob01
6,camarto01
6,dinwisp01
7,bridgmi01
7,avdijde01
7,okongon01
7,turnemy01
7,hardeja01
7,embiijo01
7,vassede01
7,sextoco01
7,wareke01
7,georgky01
7,nembhan01
8,gilgesh01
8,murphtr01
8,harrito01
8,whitede01
8,holidjr01
8,thompam01
8,cartewe01
8,oubreke01
8,beysa01
8,daniedy01
8,dasiltr01
9,adebaba01
9,mitchdo01
9,bookede01
9,alexani01
9,pritcpa01
9,wiggian01
9,mccolcj01
9,podzibr01
9,willibr01
9,greenja01
9,sheppre01
10,doncilu01
10,jamesle01
10,knuepko01
10,brunsja01
10,hartjo01
10,cowarce01
10,tatumja01
10,mobleev01
10,fearsje01
10,mcdanja01
10,dunnkr01
11,johnsja05
11,banede01
11,foxde01
11,buzelma01
11,reidna01
11,collijo01
11,banchpa01
11,johnsca01
11,murrake01
11,valanjo01
11,whiteco01
