stat,n,mae,rmse,bias_pred_minus_actual,pearson,spearman,ci_5_95_coverage
PTS,460,10.228245042417814,13.662994661597839,2.341237036055143,0.7614094214753784,0.7304511441714964,0.2847826086956522
REB,460,4.005174893955462,5.563417959619823,1.5087343849416757,0.7251236457720576,0.7040347697481166,0.2956521739130435
AST,460,2.5363215800636265,3.8058275923294116,0.6160233828207847,0.7473776258726955,0.7253348291161291,0.27608695652173915
STL,460,0.8242639183457052,1.0727767829938355,0.3183134941675504,0.6691688231961731,0.6689014564597103,0.3826086956521739
BLK,460,0.6246841198303288,0.9337256570035364,0.37811264581124077,0.7449431423716514,0.6871969306158943,0.391304347826087
TOV,460,1.2633790031813361,1.7498240993354772,0.45074098621421005,0.7444105912334827,0.7167677371470319,0.3456521739130435
FG3M,460,1.2934136797454936,1.8739038193709843,0.4077306998939555,0.7489949916340964,0.7852718779479063,0.3760869565217391
FG%,460,0.05624097401247254,0.09557555767514483,-0.0013935795618191887,0.43129308832549296,0.5516308384800322,0.8260869565217391
FT%,442,0.10466961035028367,0.14472190858670037,-0.06596176820354706,0.36341926744951175,0.4645461974287114,0.658695652173913
games_played,460,17.1636,21.831518340712574,4.534286956521739,0.49907525244094836,0.45495165669637466,0.25
