team,PTS,REB,AST,STL,BLK,TOV,FG3M,FG_pct,FT_pct
0,454.3734146341464,165.15275,90.28113414634146,29.61725609756098,22.148512195121953,47.731932926829266,44.088091463414635,0.49413592366570175,0.799709941420034
1,481.2523475609757,207.11083536585363,99.14650609756097,33.013024390243906,21.352304878048784,56.591371951219514,48.98395121951219,0.48673370288782203,0.7841042057430777
2,472.6645000000001,125.17643292682926,133.8497743902439,32.52383536585366,12.361146341463416,57.85056097560976,51.52221951219512,0.4886629616376348,0.8107886306701184
3,537.5453231707318,150.26067682926828,111.41135975609757,29.160292682926833,13.52869512195122,55.197859756097564,56.32673780487806,0.4887265153821316,0.8062775401417175
4,475.4861402439025,149.40134146341464,77.77089634146341,27.556140243902444,28.053524390243904,45.90215853658536,52.598512195121955,0.492024764944863,0.8436450497630252
5,526.0972926829269,168.47668292682928,135.5713475609756,30.675451219512198,19.741408536585368,58.26296341463415,52.297939024390246,0.4905626067371271,0.7964117120163269
6,501.70519512195125,167.28796341463416,140.88298170731707,31.85115243902439,22.88308536585366,63.2441036585366,65.88096951219512,0.4835730039206199,0.8334431638237414
7,484.58485975609756,157.54178658536586,130.503006097561,30.338298780487808,23.75590853658537,60.510432926829274,51.38192073170732,0.47491496443262277,0.822564459694
8,495.29703658536584,153.41686585365852,105.04989634146341,29.70578048780488,16.218914634146344,52.274164634146345,53.97644512195123,0.475770863014944,0.8454003412918504
9,508.872512195122,171.70573170731709,138.24039634146342,31.56995731707317,21.417993902439026,56.280170731707315,52.772487804878054,0.4962181838140814,0.8014961398239476
10,520.9489634146342,143.10240853658536,105.46404878048781,27.922829268292688,13.492756097560978,53.31234146341464,66.94151219512196,0.4663013103422815,0.8382722388696067
11,447.7998170731708,153.5626280487805,108.24006097560977,34.96986585365853,24.773853658536588,56.345817073170736,53.90179268292683,0.4756916846253492,0.7976590734754747
