team,W,cat_pts
10,9.344,58.134
8,8.608,58.836
3,7.448,54.404
4,6.76,53.864
9,6.424,51.972
7,5.336,49.104
2,4.376,46.632
11,3.944,45.178
6,3.804,45.304
5,3.732,44.468
1,3.628,44.84
0,2.588,41.264
