player_id,FGA_week,FTA_week,FGP_mean,FTP_mean,draft_value,draft_value_raw,H2H_value,rank_draft,rank_h2h,value_diff,rank_diff
gilgesh01,225.63883651302194,102.11318394917483,0.5216622458001768,0.893048128342246,6.087000927243812,6.245551601423488,5.418915459619491,1.0,2.0,0.6680854676243211,-1.0
jokicni01,189.6740917948038,65.51618849516797,0.5936265472741639,0.8128834355828221,5.987514986115605,6.234875444839856,5.330348707151697,2.0,3.0,0.6571662789639081,-1.0
tatumja01,220.84365192423763,77.33653935102856,0.4631460674157303,0.8357921744708147,5.667003725097883,5.8612099644128115,5.045015511367628,3.0,7.0,0.6219882137302557,-4.0
doncilu01,205.35129872209384,84.38844871164437,0.4808531265147843,0.7672362993517973,5.522214549793891,5.832740213523132,4.175332952283186,4.0,18.0,1.3468815975107056,-14.0
vucevni01,168.68350487136362,22.600821024662764,0.5101560200176627,0.8211009174311926,5.498344606133656,5.594306049822065,5.163079691125506,5.0,4.0,0.3352649150081497,1.0
bridgmi01,185.1256366146509,41.06478267200583,0.4671474358974359,0.850253807106599,5.495334357679836,5.5765124555160135,5.495334357679836,6.0,1.0,0.0,5.0
derozde01,198.38472164681514,78.69445213684439,0.4868885526979324,0.8604060913705583,5.402554060164429,5.501779359430604,5.073130032105622,7.0,6.0,0.3294240280588072,1.0
willija06,147.45505303670615,35.78248494297553,0.5126903553299492,0.8030942334739803,5.367755427276109,5.469750889679715,4.713151106876584,8.0,9.0,0.6546043203995255,-1.0
jamesle01,186.4684538842561,52.309445931959324,0.5175625332623736,0.7655367231638418,5.355160123132087,5.601423487544484,4.244944000043728,9.0,16.0,1.1102161230883594,-7.0
duranke01,169.71053526300324,55.12273793661548,0.5336060783167739,0.8694096601073346,5.350072233138062,5.580071174377224,3.97993178318807,10.0,25.0,1.3701404499499916,-15.0
halibty01,144.2208910324559,33.00497666972637,0.479447322970639,0.8584615384615385,5.298583707662255,5.483985765124555,4.264713715923278,11.0,15.0,1.0338699917389764,-4.0
edwaran01,234.13193069209876,71.09743714821764,0.4555296115474421,0.8125,5.28434860197181,5.427046263345196,5.091018775070402,12.0,5.0,0.1933298269014081,7.0
harrito02,129.31533114077206,25.461091174365468,0.4882737408688966,0.8720472440944882,5.270236804268644,5.3487544483985765,4.6275249988700295,13.0,13.0,0.6427118053986147,0.0
foxde01,201.39017525068797,59.34655218130614,0.4800890427900074,0.777307366638442,5.165052810371115,5.334519572953737,4.409191423487537,14.0,14.0,0.755861386883578,0.0
irvinky01,162.86845211151353,34.933526263823076,0.4888685574870387,0.9081779053084648,5.160020082086822,5.370106761565836,3.5239161536202688,15.0,44.0,1.6361039284665533,-29.0
leonaka01,132.38380552083706,33.91368135624538,0.5143072289156626,0.8658892128279884,5.14118409468744,5.3238434163701065,3.260263084435937,16.0,53.0,1.880921010251503,-37.0
wembavi01,152.0903839238028,41.35329105691058,0.4694077337249143,0.8093525179856115,5.120737344818672,5.387900355871887,3.621984951213207,17.0,40.0,1.4987523936054652,-23.0
adebaba01,162.84775773865093,56.10990902889134,0.5154130702836005,0.7761862130707251,5.06986535927927,5.18505338078292,4.637071974950552,18.0,11.0,0.4327933843287184,7.0
