team,PTS,REB,AST,STL,BLK,TOV,FG3M,FG_pct,FT_pct
1,644.1637743902439,185.49543292682927,121.07908536585366,34.78970121951221,17.635176829268293,63.43767073170733,82.63785975609757,0.47432991690662785,0.8477485906310201
2,618.8735,219.1583475609756,128.58684146341463,38.54225609756097,38.40972560975611,70.90282926829269,66.91509146341463,0.4722091980049654,0.8019850050729507
3,682.7323658536585,135.1096036585366,202.64816463414635,40.525262195121954,10.313859756097559,75.86083536585366,88.00809756097561,0.46754054721630167,0.848210386428487
4,494.94938414634146,282.0550975609756,70.03448780487805,30.495585365853657,42.556329268292686,51.6845,24.186920731707314,0.5465060107108662,0.7854901941450035
5,629.9792134146343,249.25139024390248,143.5264207317073,41.4828536585366,24.812353658536587,72.69406097560977,51.437707317073176,0.5049672610795234,0.7611350580985962
6,779.4119695121952,199.3437804878049,197.69788414634147,39.9525,22.65332317073171,91.36767073170734,84.28734146341465,0.4703584574663033,0.8417380080578126
7,668.7945548780488,209.85863414634147,178.43452439024395,42.47800609756098,19.524536585365855,82.75476829268294,83.24523780487806,0.4697210207962616,0.7756672272267723
8,585.4540060975611,307.70450609756097,137.9052073170732,39.74237195121951,52.24249390243903,77.12314024390244,40.28346341463415,0.5355092523382403,0.7015992413317695
9,501.5335670731708,164.5169024390244,99.14219512195122,40.60183536585367,22.875445121951223,54.79360975609755,64.67086585365854,0.4804724466082957,0.8382484782955416
10,574.928225609756,183.92948170731705,115.09694512195122,40.971256097560975,19.443140243902437,58.12979268292683,66.36337195121952,0.4806530801599543,0.8176130500611692
