team,PTS,REB,AST,STL,BLK,TOV,FG3M,FG_pct,FT_pct
0,501.5051829268293,156.8809268292683,126.7144268292683,33.40929268292683,22.110865853658538,62.478073170731705,50.17454878048781,0.4860130624916815,0.832074469281121
1,508.4513170731708,173.4599146341464,88.93278048780489,35.008024390243904,26.04443902439025,53.66592682926829,51.48704878048782,0.4885213622059219,0.783837826139636
2,488.3793292682927,176.65550000000002,109.86354878048782,33.071158536585365,19.99490243902439,49.00640243902439,55.783,0.48848730388859074,0.833471673939301
3,546.1804634146341,145.82621951219514,137.77596341463416,35.647841463414636,15.083121951219512,62.452378048780496,68.48748780487806,0.47018701046836997,0.8574347803861073
4,516.4319146341464,167.71180487804878,113.74496341463417,35.20206097560976,26.278853658536587,58.757487804878046,65.99378048780488,0.4659796037394913,0.8199960064064028
5,528.6460609756098,167.1079268292683,116.69256097560978,33.56269512195122,21.966682926829275,61.886658536585365,54.91260975609757,0.48931513150780004,0.8045450934741238
6,495.84269512195124,185.86323170731708,126.11097560975611,32.96726829268293,22.503634146341465,60.5759512195122,54.678024390243905,0.4724481756164259,0.8049586875227085
7,504.47139024390253,176.73967073170735,122.41164634146341,33.17923170731707,27.60176829268293,64.29610975609756,57.96350000000001,0.4727305323750378,0.8206713657903221
8,506.83457317073174,179.47641463414632,115.85017073170734,41.85009756097561,22.730451219512194,52.48275609756098,55.8769024390244,0.4777581540196322,0.8273823528983786
9,539.0100731707317,149.84456097560974,125.12269512195122,37.662646341463415,18.040621951219514,59.24356097560977,69.51614634146343,0.4609073109953848,0.8168101054363424
10,554.9347317073172,184.82381707317074,149.38734146341466,39.83401219512196,17.922134146341467,69.87434146341464,62.596475609756105,0.4810361119471376,0.7889926666006716
11,528.9444146341464,188.34191463414635,111.95953658536587,30.595121951219515,24.480536585365858,64.30473170731709,59.1889268292683,0.475915826861223,0.7994907407423205
