team,player_id,strategy,punts,risk
1,tatumja01,baseline,,0.1
1,leonaka01,baseline,,0.1
1,irvinky01,baseline,,0.1
1,reaveau01,baseline,,0.1
1,holidjr01,baseline,,0.1
1,allengr01,baseline,,0.1
1,markkla01,baseline,,0.1
1,johnske04,baseline,,0.1
1,portibo01,baseline,,0.1
1,johnsca02,baseline,,0.1
1,powelno01,baseline,,0.1
1,huntede01,baseline,,0.1
1,monkma01,baseline,,0.1
2,vucevni01,blocks_heavy,,0.1
2,duranke01,blocks_heavy,,0.1
2,jacksja02,blocks_heavy,,0.1
2,barnesc01,blocks_heavy,,0.1
2,turnemy01,blocks_heavy,,0.1
2,horfoal01,blocks_heavy,,0.1
2,caldwke01,blocks_heavy,,0.1
2,hardeja01,blocks_heavy,,0.1
2,vassede01,blocks_heavy,,0.1
2,brownbr01,blocks_heavy,,0.1
2,buzelma01,blocks_heavy,,0.1
2,oubreke01,blocks_heavy,,0.1
2,banchpa01,blocks_heavy,,0.1
3,halibty01,guard,"BLK,REB",0.1
3,brunsja01,guard,"BLK,REB",0.1
3,mitchdo01,guard,"BLK,REB",0.1
3,garlada01,guard,"BLK,REB",0.1
3,maxeyty01,guard,"BLK,REB",0.1
3,lavinza01,guard,"BLK,REB",0.1
3,jonesty01,guard,"BLK,REB",0.1
3,herroty01,guard,"BLK,REB",0.1
3,sextoco01,guard,"BLK,REB",0.1
3,whiteco01,guard,"BLK,REB",0.1
3,pritcpa01,guard,"BLK,REB",0.1
3,jonestr01,guard,"BLK,REB",0.1
3,porteke02,guard,"BLK,REB",0.1
4,davisan02,big,"AST,FG3M",0.1
4,adebaba01,big,"AST,FG3M",0.1
4,okongon01,big,"AST,FG3M",0.1
4,porzikr01,big,"AST,FG3M",0.1
4,allenja01,big,"AST,FG3M",0.1
4,holmgch01,big,"AST,FG3M",0.1
4,collijo01,big,"AST,FG3M",0.1
4,valanjo01,big,"AST,FG3M",0.1
4,aytonde01,big,"AST,FG3M",0.1
4,kornelu01,big,"AST,FG3M",0.1
4,bouchch01,big,"AST,FG3M",0.1
4,easonta01,big,"AST,FG3M",0.1
4,reedpa01,big,"AST,FG3M",0.1
5,gilgesh01,baseline,FT,0.1
5,siakapa01,baseline,FT,0.1
5,brownja02,baseline,FT,0.1
5,sabondo01,baseline,FT,0.1
5,giddejo01,baseline,FT,0.1
5,sengual01,baseline,FT,0.1
5,braunch01,baseline,FT,0.1
5,aldamsa01,baseline,FT,0.1
5,toppiob01,baseline,FT,0.1
5,risacza01,baseline,FT,0.1
5,filipky01,baseline,FT,0.1
5,wiggian01,baseline,FT,0.1
5,daniedy01,baseline,FT,0.1
6,doncilu01,baseline,TOV,0.1
6,edwaran01,baseline,TOV,0.1
6,whitede01,baseline,TOV,0.1
6,bookede01,baseline,TOV,0.1
6,townska01,baseline,TOV,0.1
6,butleji01,baseline,TOV,0.1
6,randlju01,baseline,TOV,0.1
6,embiijo01,baseline,TOV,0.1
6,bealbr01,baseline,TOV,0.1
6,cunnica01,baseline,TOV,0.1
6,russeda01,baseline,TOV,0.1
6,lillada01,baseline,TOV,0.1
6,vanvlfr01,baseline,TOV,0.1
7,jamesle01,guard,FT,0.1
7,foxde01,guard,FT,0.1
7,murraja01,guard,FT,0.1
7,curryst01,guard,FT,0.1
7,hartjo01,guard,FT,0.1
7,reidna01,guard,FT,0.1
7,yabusgu01,guard,FT,0.1
7,murrade01,guard,FT,0.1
7,huertke01,guard,FT,0.1
7,mccolcj01,guard,FT,0.1
7,podzibr01,guard,FT,0.1
7,kuzmaky01,guard,FT,0.1
7,westbru01,guard,FT,0.1
8,jokicni01,big,FT,0.1
8,lopezbr01,big,FT,0.1
8,wembavi01,big,FT,0.1
8,antetgi01,big,FT,0.1
8,mobleev01,big,FT,0.1
8,thompam01,big,FT,0.1
8,gordoaa01,big,FT,0.1
8,greendr01,big,FT,0.1
8,camarto01,big,FT,0.1
8,nurkiju01,big,FT,0.1
8,claxtni01,big,FT,0.1
8,wareke01,big,FT,0.1
8,washipj01,big,FT,0.1
9,bridgmi01,baseline,PTS,0.1
9,harrito02,baseline,PTS,0.1
9,anunoog01,baseline,PTS,0.1
9,murphtr02,baseline,PTS,0.1
9,georgpa01,baseline,PTS,0.1
9,banede01,baseline,PTS,0.1
9,olynyke01,baseline,PTS,0.1
9,nesmiaa01,baseline,PTS,0.1
9,joneshe01,baseline,PTS,0.1
9,carusal01,baseline,PTS,0.1
9,wiggiaa01,baseline,PTS,0.1
9,colliza01,baseline,PTS,0.1
9,hachiru01,baseline,PTS,0.1
10,derozde01,baseline,,0.28
10,willija06,baseline,,0.28
10,wagnefr01,baseline,,0.28
10,portemi01,baseline,,0.28
10,murrake02,baseline,,0.28
10,avdijde01,baseline,,0.28
10,barneha02,baseline,,0.28
10,wallaca01,baseline,,0.28
10,dosunay01,baseline,,0.28
10,hieldbu01,baseline,,0.28
10,jaqueja01,baseline,,0.28
10,mannte01,baseline,,0.28
10,marshna01,baseline,,0.28
