player_id,FGA_mean,FTA_mean,FG_pct_used,FT_pct_used,PTS,REB,AST,STL,BLK,FG3M,TOV,FG,FT,sum_raw,risk_penalty,H2H_value,availability_multiplier,rank_H2H
Nikola Jokić,52.35325609756098,19.7729512195122,0.5805916682079283,0.803631034531925,0.9911894273127753,1.0,1.0,0.9765051395007343,0.8472834067547723,0.6798825256975036,-0.9911894273127754,0.9970631424375918,0.9588839941262848,6.459618208516885,0.30301568253342726,6.156602525983458,1.0,1.0
Shai Gilgeous-Alexander,60.07920731707318,27.21062195121951,0.5354950320479142,0.8700792469041776,1.0,0.7033773861967694,0.961820851688693,0.988252569750367,0.8795888399412628,0.7004405286343611,-0.8854625550660793,0.985315712187959,1.0,6.333333333333335,0.18927184829520977,6.144061485038125,1.0,2.0
Luka Dončić,60.11224390243903,25.053170731707315,0.4735069131146399,0.769718130699772,0.9970631424375918,0.908957415565345,0.985315712187959,0.9647577092511013,0.5682819383259912,0.9911894273127753,-0.9970631424375918,0.6886930983847284,0.9441997063142438,6.051395007342144,0.28580039951358893,5.765594607828556,1.0,3.0
Jalen Johnson,51.86513414634147,16.750146341463413,0.4892084131026942,0.7669675818107923,0.961820851688693,0.988252569750367,0.9941262848751835,0.9295154185022025,0.5712187958883994,0.7386196769456681,-0.9941262848751835,0.8531571218795888,0.8883994126284875,5.930983847283406,0.21030421043700653,5.7206796368464,1.0,4.0
Victor Wembanyama,44.93803658536586,15.236097560975612,0.4899991065592835,0.8021324681364882,0.9324522760646108,0.973568281938326,0.6769456681350954,0.7621145374449338,1.0,0.8120411160058738,-0.9265785609397944,0.8179148311306901,0.920704845814978,5.969162995594713,0.266253880251481,5.702909115343232,1.0,5.0
Kevin Durant,49.7689756097561,16.805463414634147,0.5275958266676676,0.8417373047377805,0.973568281938326,0.7826725403817916,0.8355359765051396,0.5271659324522762,0.9236417033773863,0.8531571218795888,-0.9676945668135095,0.961820851688693,0.9765051395007343,5.866372980910426,0.17397791382669278,5.6923950670837336,1.0,6.0
Kawhi Leonard,45.22102439024391,12.710719512195125,0.5059012537837033,0.841678942235129,0.9412628487518355,0.7444933920704846,0.6651982378854626,0.947136563876652,0.5624082232011747,0.7973568281938326,-0.7063142437591776,0.908957415565345,0.9383259911894273,5.798825256975037,0.15970869858554704,5.63911655838949,1.0,7.0
Anthony Edwards,60.67907317073172,20.35967073170732,0.4679987187455224,0.795422646573197,0.9941262848751835,0.7797356828193833,0.8325991189427313,0.935389133627019,0.8032305433186491,0.988252569750367,-0.9765051395007343,0.5066079295154184,0.9530102790014685,5.816446402349486,0.19495904000712058,5.621487362342366,1.0,8.0
Mikal Bridges,46.14084146341463,8.407,0.4790129519813986,0.7632946652463349,0.9030837004405285,0.6211453744493391,0.8208516886930983,0.9324522760646108,0.8091042584434656,0.9118942731277533,-0.7356828193832599,0.7033773861967694,0.7268722466960353,5.693098384728341,0.08687677950012979,5.606221605228211,1.0,9.0
Tyrese Haliburton,40.82724390243903,9.973719512195125,0.4776221715050995,0.8124989665916985,0.8913362701908958,0.43906020558002945,0.9970631424375918,0.9383259911894273,0.7562408223201176,0.9559471365638768,-0.8179148311306902,0.6358296622613804,0.8707782672540383,5.666666666666666,0.1612457774266039,5.505420889240062,1.0,10.0
Bam Adebayo,46.50782926829268,17.40780487804878,0.4814093074820388,0.7523859251926603,0.9236417033773863,0.985315712187959,0.7826725403817916,0.9236417033773863,0.8649045521292218,0.49192364170337743,-0.8649045521292218,0.7415565345080763,0.8355359765051396,5.684287812041116,0.18017746515228905,5.504110346888828,1.0,11.0
Jamal Murray,50.78704878048781,12.649426829268291,0.4747790385459761,0.8421077383118587,0.9588839941262848,0.5682819383259912,0.9706314243759178,0.8443465491923641,0.6123348017621146,0.9500734214390603,-0.8707782672540382,0.6534508076358296,0.935389133627019,5.622613803230543,0.18589027484488446,5.4367235283856585,1.0,12.0
Scottie Barnes,43.80036585365853,12.431146341463414,0.4775328051321498,0.7549079625257893,0.8766519823788546,0.9118942731277533,0.9412628487518355,0.9412628487518355,0.9500734214390603,0.4361233480176212,-0.935389133627019,0.6622613803230544,0.7826725403817916,5.5668135095447875,0.14741206785709107,5.419401441687697,1.0,13.0
Jaylen Brown,59.67730487804878,18.23457317073171,0.479149601085277,0.7567959008373757,0.9823788546255507,0.8619676945668135,0.8590308370044053,0.882525697503671,0.5212922173274597,0.8237885462555066,-0.973568281938326,0.7767988252569751,0.86784140969163,5.602055800293686,0.19985207431781868,5.402203725975868,1.0,14.0
Karl-Anthony Towns,41.86870731707317,15.160890243902438,0.5095412140742722,0.8269523164743485,0.9148311306901615,0.9823788546255507,0.6916299559471366,0.5624082232011747,0.7239353891336271,0.7591776798825256,-0.9177679882525698,0.9060205580029368,0.947136563876652,5.569750367107195,0.1878116233962055,5.38193874371099,1.0,15.0
Donovan Mitchell,57.73565853658537,17.181756097560978,0.4685467127063576,0.8294136259556911,0.985315712187959,0.6740088105726871,0.9118942731277533,0.961820851688693,0.42143906020558,0.985315712187959,-0.9236417033773862,0.5124816446402349,0.9676945668135095,5.49632892804699,0.20236263642487842,5.2939662916221115,1.0,16.0
