team,player_id,win_shares
0,duranke01,2.172
0,derozde01,2.064
0,queende01,2.036
0,porteke01,1.9
0,vucevni01,1.836
0,divindo01,1.74
0,garlada01,1.536
0,harpedy01,1.392
0,ingrabr01,1.36
0,braunch01,1.268
0,huffja01,1.024
1,wembavi01,3.52
1,jacksja01,3.044
1,brownja01,2.788
1,siakapa01,2.612
1,wallaca01,2.568
1,raynama01,2.3
1,willija06,2.256
1,johnske01,2.208
1,wiggiaa01,1.792
1,joeis01,1.74
1,larsspe01,1.472
2,jokicni01,4.184
2,portemi01,3.348
2,vanvlfr01,3.056
2,anunoog01,3.028
2,markkla01,2.872
2,butleji01,2.4
2,johnske04,2.22
2,lavinza01,2.112
2,horfoal01,2.08
2,brownbr01,1.732
2,kornelu01,1.56
3,halibty01,5.18
3,maxeyty01,4.808
3,lillada01,4.128
3,curryst01,3.908
3,townska01,2.52
3,wagnefr01,2.096
3,marshna01,1.892
3,jaqueja01,1.868
3,huertke01,1.804
3,nesmiaa01,1.276
3,rolliry01,1.184
4,edwaran01,4.848
4,flaggco01,4.48
4,edgecvj01,4.408
4,clingdo01,3.924
4,lopezbr01,3.812
4,reaveau01,3.804
4,allengr01,3.22
4,jonestr01,2.824
4,millebr02,2.812
4,grimequ01,2.548
4,barneha01,2.532
5,leonaka01,3.312
5,irvinky01,3.248
5,sengual01,3.204
5,cunnica01,2.984
5,holmgch01,2.676
5,powelno01,2.656
5,herroty01,2.524
5,filipky01,2.332
5,dosunay01,2.308
5,suggsja01,2.248
5,gordoaa01,1.772
6,murraja01,3.364
6,barnesc01,3.208
6,giddejo01,3.032
6,randlju01,2.716
6,camarto01,2.604
6,davisan02,2.576
6,dinwisp01,2.496
6,georgpa01,2.34
6,portibo01,2.256
6,porzikr01,2.096
6,toppiob01,1.376
7,hardeja01,4.06
7,bridgmi01,4.016
7,okongon01,3.796
7,turnemy01,3.784
7,wareke01,3.428
7,avdijde01,3.304
7,vassede01,3.116
7,nembhan01,2.672
7,georgky01,2.516
7,embiijo01,2.38
7,sextoco01,2.264
8,gilgesh01,6.188
8,whitede01,5.172
8,thompam01,4.136
8,murphtr01,4.012
8,holidjr01,3.612
8,harrito01,3.372
8,daniedy01,3.288
8,beysa01,3.016
8,cartewe01,2.836
8,dasiltr01,2.068
8,oubreke01,2.06
9,mitchdo01,5.32
9,bookede01,5.032
9,adebaba01,3.752
9,alexani01,3.576
9,pritcpa01,3.484
9,mccolcj01,3.432
9,podzibr01,2.552
9,sheppre01,2.54
9,wiggian01,1.992
9,willibr01,1.732
9,greenja01,1.02
10,doncilu01,6.604
10,knuepko01,5.836
10,brunsja01,5.428
10,jamesle01,4.772
10,mobleev01,4.704
10,tatumja01,4.356
10,hartjo01,3.852
10,fearsje01,2.804
10,cowarce01,2.476
10,dunnkr01,1.76
10,mcdanja01,1.552
11,buzelma01,3.196
11,johnsja05,3.18
11,reidna01,3.0
11,banede01,2.996
11,foxde01,2.452
11,murrake01,2.34
11,whiteco01,2.244
11,banchpa01,2.22
11,collijo01,2.036
11,valanjo01,2.012
11,johnsca01,1.864
