file,player,season,status
data\gamelogs\2023\davisan02.csv,Anthony Davis,2023,ok
data\gamelogs\2023\davisjd01.csv,JD Davison,2023,ok
data\gamelogs\2023\davisjo06.csv,Johnny Davis,2023,ok
data\gamelogs\2023\daviste02.csv,Terence Davis,2023,ok
data\gamelogs\2023\derozde01.csv,DeMar DeRozan,2023,ok
data\gamelogs\2023\diabamo01.csv,Moussa Diabaté,2023,ok
data\gamelogs\2023\diengou01.csv,Ousmane Dieng,2023,ok
data\gamelogs\2023\dinwisp01.csv,Spencer Dinwiddie,2023,ok
data\gamelogs\2023\divindo01.csv,Donte DiVincenzo,2023,ok
data\gamelogs\2023\doncilu01.csv,Luka Dončić,2023,ok
data\gamelogs\2023\dortlu01.csv,Luguentz Dort,2023,ok
data\gamelogs\2023\dosunay01.csv,Ayo Dosunmu,2023,ok
data\gamelogs\2023\dowtije01.csv,Jeff Dowtin Jr.,2023,ok
data\gamelogs\2023\doziepj01.csv,PJ Dozier,2023,ok
data\gamelogs\2023\drumman01.csv,Andre Drummond,2023,ok
data\gamelogs\2023\duartch01.csv,Chris Duarte,2023,ok
data\gamelogs\2023\dukeda01.csv,David Duke Jr.,2023,ok
data\gamelogs\2023\dunnkr01.csv,Kris Dunn,2023,ok
data\gamelogs\2023\duranke01.csv,Kevin Durant,2023,ok
data\gamelogs\2023\durenja01.csv,Jalen Duren,2023,ok
data\gamelogs\2023\easonta01.csv,Tari Eason,2023,ok
data\gamelogs\2023\edwaran01.csv,Anthony Edwards,2023,ok
data\gamelogs\2023\edwarke02.csv,Kessler Edwards,2023,ok
data\gamelogs\2023\elliske01.csv,Keon Ellis,2023,ok
data\gamelogs\2023\embiijo01.csv,Joel Embiid,2023,ok
data\gamelogs\2023\eubandr01.csv,Drew Eubanks,2023,ok
data\gamelogs\2023\fernabr01.csv,Bruno Fernando,2023,ok
data\gamelogs\2023\finnedo01.csv,Dorian Finney-Smith,2023,ok
data\gamelogs\2023\flynnma01.csv,Malachi Flynn,2023,ok
data\gamelogs\2023\fontesi01.csv,Simone Fontecchio,2023,ok
data\gamelogs\2023\foxde01.csv,De'Aaron Fox,2023,ok
data\gamelogs\2023\fultzma01.csv,Markelle Fultz,2023,ok
data\gamelogs\2023\gaffoda01.csv,Daniel Gafford,2023,ok
data\gamelogs\2023\garlada01.csv,Darius Garland,2023,ok
data\gamelogs\2023\garzalu01.csv,Luka Garza,2023,ok
data\gamelogs\2023\georgpa01.csv,Paul George,2023,ok
data\gamelogs\2023\gibsota01.csv,Taj Gibson,2023,ok
data\gamelogs\2023\giddejo01.csv,Josh Giddey,2023,ok
data\gamelogs\2023\gilgesh01.csv,Shai Gilgeous-Alexander,2023,ok
data\gamelogs\2023\gillan01.csv,Anthony Gill,2023,ok
data\gamelogs\2023\goberru01.csv,Rudy Gobert,2023,ok
data\gamelogs\2023\goodwjo01.csv,Jordan Goodwin,2023,ok
data\gamelogs\2023\gordoaa01.csv,Aaron Gordon,2023,ok
data\gamelogs\2023\gordoer01.csv,Eric Gordon,2023,ok
data\gamelogs\2023\grantje01.csv,Jerami Grant,2023,ok
data\gamelogs\2023\greenaj01.csv,A.J. Green,2023,ok
data\gamelogs\2023\greendr01.csv,Draymond Green,2023,ok
data\gamelogs\2023\greenja01.csv,Jalen Green,2023,ok
data\gamelogs\2023\greenja02.csv,Javonte Green,2023,ok
data\gamelogs\2023\greenje01.csv,Jeff Green,2023,ok
data\gamelogs\2023\greenjo01.csv,Josh Green,2023,ok
data\gamelogs\2023\grimequ01.csv,Quentin Grimes,2023,ok
data\gamelogs\2023\hachiru01.csv,Rui Hachimura,2023,ok
data\gamelogs\2023\halibty01.csv,Tyrese Haliburton,2023,ok
data\gamelogs\2023\hardati01.csv,Tim Hardaway Jr.,2023,ok
data\gamelogs\2023\hardeja01.csv,James Harden,2023,ok
data\gamelogs\2023\hardyja01.csv,Jaden Hardy,2023,ok
data\gamelogs\2023\harpero01.csv,Ron Harper Jr.,2023,ok
data\gamelogs\2023\harriga01.csv,Gary Harris,2023,ok
data\gamelogs\2023\harrito01.csv,Tobias Harris,2023,ok
data\gamelogs\2023\harteis01.csv,Isaiah Hartenstein,2023,ok
data\gamelogs\2023\hartjo01.csv,Josh Hart,2023,ok
data\gamelogs\2023\hausesa01.csv,Sam Hauser,2023,ok
data\gamelogs\2023\hayesja01.csv,Jaxson Hayes,2023,ok
data\gamelogs\2023\hayeski01.csv,Killian Hayes,2023,ok
data\gamelogs\2023\herroty01.csv,Tyler Herro,2023,ok
data\gamelogs\2023\hieldbu01.csv,Buddy Hield,2023,ok
data\gamelogs\2023\highsha01.csv,Haywood Highsmith,2023,ok
data\gamelogs\2023\holidaa01.csv,Aaron Holiday,2023,ok
data\gamelogs\2023\holidjr01.csv,Jrue Holiday,2023,ok
data\gamelogs\2023\holmeri01.csv,Richaun Holmes,2023,ok
data\gamelogs\2023\horfoal01.csv,Al Horford,2023,ok
data\gamelogs\2023\hortota01.csv,Talen Horton-Tucker,2023,ok
data\gamelogs\2023\houstca01.csv,Caleb Houstan,2023,ok
data\gamelogs\2023\huertke01.csv,Kevin Huerter,2023,ok
data\gamelogs\2023\huffja01.csv,Jay Huff,2023,ok
data\gamelogs\2023\huntede01.csv,De'Andre Hunter,2023,ok
data\gamelogs\2023\hylanbo01.csv,Bones Hyland,2023,ok
data\gamelogs\2023\inglejo01.csv,Joe Ingles,2023,ok
data\gamelogs\2023\ingrabr01.csv,Brandon Ingram,2023,ok
data\gamelogs\2023\irvinky01.csv,Kyrie Irving,2023,ok
data\gamelogs\2023\isaacjo01.csv,Jonathan Isaac,2023,ok
data\gamelogs\2023\iveyja01.csv,Jaden Ivey,2023,ok
data\gamelogs\2023\jacksis01.csv,Isaiah Jackson,2023,ok
data\gamelogs\2023\jacksja01.csv,Jaren Jackson Jr.,2023,ok
data\gamelogs\2023\jacksqu01.csv,Quenton Jackson,2023,ok
data\gamelogs\2023\jacksre01.csv,Reggie Jackson,2023,ok
data\gamelogs\2023\jamesle01.csv,LeBron James,2023,ok
data\gamelogs\2023\jeffrda01.csv,,2023,empty_csv
data\gamelogs\2023\jeromty01.csv,Ty Jerome,2023,ok
data\gamelogs\2023\joeis01.csv,Isaiah Joe,2023,ok
data\gamelogs\2023\johnsca01.csv,Cameron Johnson,2023,ok
data\gamelogs\2023\johnsja01.csv,James Johnson,2023,ok
data\gamelogs\2023\johnske01.csv,Keldon Johnson,2023,ok
data\gamelogs\2023\johnske04.csv,Keon Johnson,2023,ok
data\gamelogs\2023\jokicni01.csv,Nikola Jokić,2023,ok
data\gamelogs\2023\jonesde01.csv,Derrick Jones Jr.,2023,ok
data\gamelogs\2023\joneshe01.csv,Herbert Jones,2023,ok
data\gamelogs\2023\joneska01.csv,Kai Jones,2023,ok
data\gamelogs\2023\jonestr01.csv,Tre Jones,2023,ok
data\gamelogs\2023\jonesty01.csv,Tyus Jones,2023,ok
data\gamelogs\2023\jordade01.csv,DeAndre Jordan,2023,ok
data\gamelogs\2023\josepco01.csv,Cory Joseph,2023,ok
data\gamelogs\2023\jovicni01.csv,Nikola Jović,2023,ok
data\gamelogs\2023\juzanjo01.csv,Johnny Juzang,2023,ok
data\gamelogs\2023\keelstr01.csv,Trevor Keels,2023,ok
data\gamelogs\2023\kennalu01.csv,Luke Kennard,2023,ok
data\gamelogs\2023\kesslwa01.csv,Walker Kessler,2023,ok
data\gamelogs\2023\keybr01.csv,Braxton Key,2023,ok
data\gamelogs\2023\kispeco01.csv,Corey Kispert,2023,ok
data\gamelogs\2023\klebima01.csv,Maxi Kleber,2023,ok
data\gamelogs\2023\knoxke01.csv,Kevin Knox,2023,ok
data\gamelogs\2023\kolokch01.csv,Christian Koloko,2023,ok
data\gamelogs\2023\konchjo01.csv,John Konchar,2023,ok
data\gamelogs\2023\kornelu01.csv,Luke Kornet,2023,ok
data\gamelogs\2023\krejcvi01.csv,Vit Krejci,2023,ok
data\gamelogs\2023\kuminjo01.csv,Jonathan Kuminga,2023,ok
data\gamelogs\2023\kuzmaky01.csv,Kyle Kuzma,2023,ok
data\gamelogs\2023\landajo01.csv,Jock Landale,2023,ok
data\gamelogs\2023\laravja01.csv,Jake LaRavia,2023,ok
data\gamelogs\2023\lavinza01.csv,Zach LaVine,2023,ok
data\gamelogs\2023\lawsoaj01.csv,A.J. Lawson,2023,ok
data\gamelogs\2023\leeda03.csv,Damion Lee,2023,ok
data\gamelogs\2023\lenal01.csv,Alex Len,2023,ok
data\gamelogs\2023\leonaka01.csv,Kawhi Leonard,2023,ok
data\gamelogs\2023\leverca01.csv,Caris LeVert,2023,ok
data\gamelogs\2023\lillada01.csv,Damian Lillard,2023,ok
data\gamelogs\2023\liveris01.csv,Isaiah Livers,2023,ok
data\gamelogs\2023\looneke01.csv,Kevon Looney,2023,ok
data\gamelogs\2023\lopezbr01.csv,Brook Lopez,2023,ok
data\gamelogs\2023\loveke01.csv,Kevin Love,2023,ok
data\gamelogs\2023\lowryky01.csv,Kyle Lowry,2023,ok
data\gamelogs\2023\lylestr01.csv,Trey Lyles,2023,ok
data\gamelogs\2023\mamuksa01.csv,Sandro Mamukelashvili,2023,ok
data\gamelogs\2023\mannte01.csv,Terance Mann,2023,ok
data\gamelogs\2023\manntr01.csv,Tre Mann,2023,ok
data\gamelogs\2023\markkla01.csv,Lauri Markkanen,2023,ok
data\gamelogs\2023\marshna01.csv,Naji Marshall,2023,ok
data\gamelogs\2023\martica01.csv,Caleb Martin,2023,ok
data\gamelogs\2023\martico01.csv,Cody Martin,2023,ok
data\gamelogs\2023\martike04.csv,KJ Martin,2023,ok
data\gamelogs\2023\martity01.csv,Tyrese Martin,2023,ok
data\gamelogs\2023\mathega01.csv,Garrison Mathews,2023,ok
data\gamelogs\2023\mathube01.csv,Bennedict Mathurin,2023,ok
data\gamelogs\2023\maxeyty01.csv,Tyrese Maxey,2023,ok
data\gamelogs\2023\mcbrimi01.csv,Miles McBride,2023,ok
data\gamelogs\2023\mccluma01.csv,Mac McClung,2023,ok
data\gamelogs\2023\mccolcj01.csv,CJ McCollum,2023,ok
data\gamelogs\2023\mccontj01.csv,T.J. McConnell,2023,ok
data\gamelogs\2023\mcdanja01.csv,Jalen McDaniels,2023,ok
data\gamelogs\2023\mcderdo01.csv,Doug McDermott,2023,ok
data\gamelogs\2023\mcgowbr01.csv,Bryce McGowens,2023,ok
data\gamelogs\2023\mclaujo01.csv,Jordan McLaughlin,2023,ok
data\gamelogs\2023\meltode01.csv,De'Anthony Melton,2023,ok
data\gamelogs\2023\merrisa01.csv,Sam Merrill,2023,ok
data\gamelogs\2023\middlkh01.csv,Khris Middleton,2023,ok
data\gamelogs\2023\millspa02.csv,Patty Mills,2023,ok
data\gamelogs\2023\miltosh01.csv,Shake Milton,2023,ok
data\gamelogs\2023\minayju01.csv,Justin Minaya,2023,ok
data\gamelogs\2023\minotjo01.csv,Josh Minott,2023,ok
data\gamelogs\2023\mitchda01.csv,Davion Mitchell,2023,ok
