player,season,old_url,new_url
Jaylen Brown,2025,https://www.basketball-reference.com/players/b/brownja01/gamelog/2025,https://www.basketball-reference.com/players/b/brownja02/gamelog/2025
Jalen Williams,2025,https://www.basketball-reference.com/players/w/willija01/gamelog/2025,https://www.basketball-reference.com/players/w/willija06/gamelog/2025
Jaden Hardy,2023,https://www.basketball-reference.com/players/h/hardyja01/gamelog/2023,https://www.basketball-reference.com/players/h/hardyja02/gamelog/2023
Jalen Smith,2025,https://www.basketball-reference.com/players/s/smithja01/gamelog/2025,https://www.basketball-reference.com/players/s/smithja04/gamelog/2025
Devin Carter,2025,https://www.basketball-reference.com/players/c/cartede01/gamelog/2025,https://www.basketball-reference.com/players/c/cartede02/gamelog/2025
Jalen Williams,2024,https://www.basketball-reference.com/players/w/willija01/gamelog/2024,https://www.basketball-reference.com/players/w/willija06/gamelog/2024
Max Christie,2025,https://www.basketball-reference.com/players/c/chrisma01/gamelog/2025,https://www.basketball-reference.com/players/c/chrisma02/gamelog/2025
Jaden Hardy,2026,https://www.basketball-reference.com/players/h/hardyja01/gamelog/2026,https://www.basketball-reference.com/players/h/hardyja02/gamelog/2026
Brandon Williams,2024,https://www.basketball-reference.com/players/w/willibr01/gamelog/2024,https://www.basketball-reference.com/players/w/willibr03/gamelog/2024
Cameron Johnson,2026,https://www.basketball-reference.com/players/j/johnsca01/gamelog/2026,https://www.basketball-reference.com/players/j/johnsca02/gamelog/2026
Gary Trent Jr.,2026,https://www.basketball-reference.com/players/t/trentga01/gamelog/2026,https://www.basketball-reference.com/players/t/trentga02/gamelog/2026
Alperen Şengün,2023,https://www.basketball-reference.com/players/e/engnal01/gamelog/2023,https://www.basketball-reference.com/players/s/sengual01/gamelog/2023
Keshad Johnson,2026,https://www.basketball-reference.com/players/j/johnske01/gamelog/2026,https://www.basketball-reference.com/players/j/johnske04/gamelog/2026
Tim Hardaway Jr.,2023,https://www.basketball-reference.com/players/h/hardati01/gamelog/2023,https://www.basketball-reference.com/players/h/hardati02/gamelog/2023
Tidjane Salaün,2025,https://www.basketball-reference.com/players/s/salanti01/gamelog/2025,https://www.basketball-reference.com/players/s/salauti01/gamelog/2025
Trayce Jackson-Davis,2025,https://www.basketball-reference.com/players/j/jackstr01/gamelog/2025,https://www.basketball-reference.com/players/j/jackstr02/gamelog/2025
Cody Williams,2026,https://www.basketball-reference.com/players/w/willico01/gamelog/2026,https://www.basketball-reference.com/players/w/willico04/gamelog/2026
N'Faly Dante,2026,https://www.basketball-reference.com/players/d/dantenf01/gamelog/2026,https://www.basketball-reference.com/players/n/nfalyda01/gamelog/2026
Larry Nance Jr.,2026,https://www.basketball-reference.com/players/n/nancela01/gamelog/2026,https://www.basketball-reference.com/players/n/nancela02/gamelog/2026
Gary Payton II,2025,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2025,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2025
Clint Capela,2025,https://www.basketball-reference.com/players/c/capelcl01/gamelog/2025,https://www.basketball-reference.com/players/c/capelca01/gamelog/2025
Josh Green,2024,https://www.basketball-reference.com/players/g/greenjo01/gamelog/2024,https://www.basketball-reference.com/players/g/greenjo02/gamelog/2024
Dario Šarić,2024,https://www.basketball-reference.com/players/a/arida01/gamelog/2024,https://www.basketball-reference.com/players/s/saricda01/gamelog/2024
Gary Payton II,2024,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2024,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2024
TyTy Washington Jr.,2024,https://www.basketball-reference.com/players/w/washity01/gamelog/2024,https://www.basketball-reference.com/players/w/washity02/gamelog/2024
Jalen Pickett,2026,https://www.basketball-reference.com/players/p/pickeja01/gamelog/2026,https://www.basketball-reference.com/players/p/pickeja02/gamelog/2026
Mark Williams,2026,https://www.basketball-reference.com/players/w/willima01/gamelog/2026,https://www.basketball-reference.com/players/w/willima07/gamelog/2026
Kevin Porter Jr.,2025,https://www.basketball-reference.com/players/p/porteke01/gamelog/2025,https://www.basketball-reference.com/players/p/porteke02/gamelog/2025
Jalen Wilson,2026,https://www.basketball-reference.com/players/w/wilsoja01/gamelog/2026,https://www.basketball-reference.com/players/w/wilsoja03/gamelog/2026
Alperen Şengün,2024,https://www.basketball-reference.com/players/e/engnal01/gamelog/2024,https://www.basketball-reference.com/players/s/sengual01/gamelog/2024
Tyler Smith,2026,https://www.basketball-reference.com/players/s/smithty01/gamelog/2026,https://www.basketball-reference.com/players/s/smithty02/gamelog/2026
Jaren Jackson Jr.,2025,https://www.basketball-reference.com/players/j/jacksja01/gamelog/2025,https://www.basketball-reference.com/players/j/jacksja02/gamelog/2025
Javonte Green,2026,https://www.basketball-reference.com/players/g/greenja01/gamelog/2026,https://www.basketball-reference.com/players/g/greenja02/gamelog/2026
Keegan Murray,2024,https://www.basketball-reference.com/players/m/murrake01/gamelog/2024,https://www.basketball-reference.com/players/m/murrake02/gamelog/2024
Scotty Pippen Jr.,2026,https://www.basketball-reference.com/players/p/pippesc01/gamelog/2026,https://www.basketball-reference.com/players/p/pippesc02/gamelog/2026
Anthony Davis,2025,https://www.basketball-reference.com/players/d/davisan01/gamelog/2025,https://www.basketball-reference.com/players/d/davisan02/gamelog/2025
Keegan Murray,2025,https://www.basketball-reference.com/players/m/murrake01/gamelog/2025,https://www.basketball-reference.com/players/m/murrake02/gamelog/2025
Ron Harper Jr.,2023,https://www.basketball-reference.com/players/h/harpero01/gamelog/2023,https://www.basketball-reference.com/players/h/harpero02/gamelog/2023
