stat,n,mae,rmse,bias_pred_minus_actual,pearson,spearman,ci_5_95_coverage
PTS,465,10.314461141708193,13.968642131411086,2.2661421452924206,0.7530695894724485,0.7281818936470047,0.2860215053763441
REB,465,4.038076274149839,5.617121134081222,1.4264135413934786,0.7166023491866439,0.7008691445219692,0.2967741935483871
AST,465,2.543374027449952,3.8542321291872095,0.6047552670687997,0.7427638206540617,0.7236869795091252,0.27956989247311825
STL,465,0.8227334557216541,1.0746620323333151,0.3028033919048868,0.6661104613569157,0.6680516721215299,0.3913978494623656
BLK,465,0.6252002360346186,0.9333357415676374,0.3697256316111549,0.7370431741957973,0.6809307431313906,0.38064516129032255
TOV,465,1.265978975434916,1.7622972979828482,0.44332751988810215,0.7411117923827755,0.7142780429025912,0.32903225806451614
FG3M,465,1.3020400821750155,1.9076820220562751,0.39204497770784164,0.7413774452142895,0.7818384473546611,0.38064516129032255
FG%,465,0.05666977121084889,0.09586159710218933,-0.0003418781853885923,0.4288763927142313,0.5433389865060612,0.821505376344086
FT%,447,0.10503795347428016,0.14435219540827626,-0.0662571245641519,0.3685609056287807,0.4669514113092265,0.6602150537634408
games_played,465,17.135347670250894,21.859729042493427,4.581412186379928,0.49918018861439545,0.45705364173859026,0.2537634408602151
